Level,Find,Part Number,Rev,Description,Qty,UOM,Type,Ref Des,Eff From,Eff To
5,70,        EC-51355,C,Capacitor 100nF 50V,1,PC,Purchased,C182,2023-07-06,2024-07-06
4,50,      0712-330,B,O-Ring 24mm Viton,2,EA,,,2025-01-22,
4,60,      EC-51360,1,MOSFET N-Ch 30V,4,EA,item,R183-R186,2026-04-05,
4,70,      2778-166,-,Washer M6 Plain,2,PC,Item,,2023-05-10,
4,80,      EC-51363,,Capacitor 100nF 50V,1,EA,Buy,R187,2026-06-18,
4,90,      2780-359,B,Dowel Pin 5x16,2,ea,Subcontract,,09/19/2026,
4,100,      2783-226,01,Label Serial 30x15,1,EA,Buy,,,
4,110,      2785-921,B,Sheet Aluminium 1.5mm,0.325,KG,Purchased,,2024-06-23,
4,120,      SA-1143,02,Gearbox,1,EA,Item,,2023-03-14,
5,10,        2789-060,01,Shaft 12mm Stainless,8,EA,Item,,2025-04-17,
5,20,        2793-690,,Conformal Coating,AR,ML,Buy,,2026-02-10,2027-02-10
5,30,        EC-51366,01,Inductor 4u7,1,ea,Item,C188,,
5,40,        EC-51372,A,Inductor 4u7,6,PCS,Vendor,"U189, U190, U191, U192, U193, U194",,
5,50,        EC-51377,A,Capacitor 100nF 50V,1,PC,Purchased,C195,,
5,60,        2799-276,01,Washer M6 Plain,3,PCS,Purchased,,2023-10-02,
2,90,  2801-778,,Epoxy Adhesive 2-Part,0,,Item,,11/26/2023,
2,100,  SA-1147,A,Manifold,1,,Phantom,,2025-09-15,
3,10,    0712-330,-,O-Ring 24mm Viton,3,EA,Make,,04/11/2026,
3,20,    SA-1150,B,Sensor Stack,1,EA,Make,,10/21/2025,
4,10,      EC-51382,A,Resistor 10k 0603,4,pcs,Purchased,U196-U199,2024-07-08,
4,20,      EC-51388,B,Voltage Regulator 3V3,4,EA,Purchased,R200-R203,03/28/2024,
4,30,      0461-018,A,Nut M6 Nyloc A4,12,EA,Item,,2023-12-02,
4,40,      2807-094,A,Washer M6 Plain,1,Each,Item,,2026-04-24,
4,50,      SA-1151,01,Cable Harness,1,PCS,Item,,2024-08-20,
5,10,        EC-51393,A,Diode Schottky 40V,1,EA,item,U204,11/26/2026,
5,20,        2809-782,B,Sealant Silicone Clear,"3,27",M,Subcontract,,11/11/2026,
5,30,        2810-848,A,Cap Screw M4x12,6,ea,,,2023-07-16,
5,40,        2812-774,02,Bushing Bronze 10mm,6,PCS,Purchased,,2025-11-22,
5,50,        2817-192,-,Silicone Grease,AR,G,Item,,09/18/2025,
5,60,        0453-119,B,Hex Bolt M6x20 A4,4,EA,item,,,
5,70,        2819-386,A,Shaft 12mm Stainless,1,EA,Item,,,
5,80,        2820-279,C,Connector Housing 6P,2,EA,Purchased,,2026-07-26,
4,60,      2821-891,2,O-Ring 24mm Viton,1,EA,ITEM,,2024-12-24,
3,30,    2825-277,A,Ribbon Cable 20W,2,ea,Standard,,2026-07-02,
3,40,    2827-554,C,Shaft 12mm Stainless,2,EA,Subcontract,,2025-01-14,
3,50,    2828-593,A,Nut M6 Nyloc,2,PC,Standard,,2023-04-17,
2,110,  SA-1155,A,Power Supply,1,,Item,,2024-07-10,
3,10,    EC-51396,01,Capacitor 100nF 50V,2,EA,Standard,"L205,L206",2024-09-04,
3,20,    2830-166,,Label Serial 30x15,8,PC,item,,2025-09-22,
3,30,    2831-054,,Retaining Ring 20mm,1,EA,Purchased,,07/01/2025,
3,40,    2838-460,C,Washer M6 Plain,2,EA,Item,,06/01/2026,06/01/2027
3,50,    SA-1157,01,Housing,1,EA,Item,,,
4,10,      2845-511,A,Strip Copper 3mm,1.347,MM,Make,,,
4,20,      2852-943,-,Wire 0.75mm2 Red,0.97,M,Purchased,,05/23/2026,
4,30,      0712-330,B,O-Ring 24mm Viton,4,PC,item,,06/09/2023,06/09/2024
4,40,      SA-1158,C,Cable Harness,1,,phantom,,2024-01-02,
5,10,        0453-204,A,Washer M6 Plain A4,1,PCS,Purchased,,2024-06-04,
5,20,        0453-204,,Washer M6 Plain A4,3,,Item,,2024-09-22,
5,30,        0453-204,B,Washer M6 Plain A4,1,PC,Item,,2023-04-16,
5,40,        0712-330,A,O-Ring 24mm Viton,1,ea,Pegged supply,,2025-10-06,
5,50,        2855-728,C,Wire 0.75mm2 Red,0.68,KG,vendor,,10/20/2023,
5,60,        0453-204,,Washer M6 Plain A4,12,pcs,Item,,2025-10-26,
5,70,        EC-51401,C,MOSFET N-Ch 30V,1,PCS,Standard,C207,,
5,80,        EC-51402,,MOSFET N-Ch 30V,1,EA,ITEM,L208,09/16/2025,
4,50,      2861-227,,Solder Paste SAC305,0,ML,Item,,2024-09-13,
4,60,      SA-1162,1,Cable Harness,1,EA,item,,2025-06-19,
5,10,        2868-730,A,Epoxy Adhesive 2-Part,0.02,EA,Item,,2024-08-14,
5,20,        EC-51407,02,Capacitor 100nF 50V,6,EA,Purchased,"L209,L210,L211,L212,L213,L214",2025-10-16,
5,30,        2873-192,B,Hex Bolt M6x20,2,EA,Purchased,,2023-09-22,2024-09-22
5,40,        EC-51414,,Resistor 10k 0603,1,Each,Pegged,R215,2026-01-14,
5,50,        2876-826,,Washer M6 Plain,1,ea,Vendor,,2024-07-25,
5,60,        0712-330,A,O-Ring 24mm Viton,3,EA,Purchased,,2026-12-23,
5,70,        2881-770,A,Label Serial 30x15,12,PC,Purchased,,2024-12-22,
4,70,      0461-018,,Nut M6 Nyloc A4,3,EA,Purchased,,,
3,60,    2884-560,,Cap Screw M4x12,2,Each,Item,,,
3,70,    2886-155,-,Silicone Grease,0,,Buy,,2024-02-02,
3,80,    2889-103,B,O-Ring 24mm Viton,1,EA,Buy,,,
2,120,  SA-1166,B,Cable Harness,1,,Item,,11/28/2023,
3,10,    SA-1167,A,Backplane,1,PCS,Item,,2024-07-10,
4,10,      SA-1171,-,Coupling Set,1,EA,Make,,2026-01-28,
5,10,        EC-51420,A,Capacitor 100nF 50V,3,PCS,Item,U216-U218,2025-06-10,
5,20,        EC-51421,02,Inductor 4u7,3,PCS,Standard,"C219, C220, C221",2025-07-16,
5,30,        0453-119,A,Hex Bolt M6x20 A4,12,PCS,Purchased,,2026-04-24,
4,20,      0712-330,B,O-Ring 24mm Viton,1,PCS,Subcontract,,2026-08-26,
4,30,      2895-425,A,Cap Screw M4x12,2,PCS,Purchased,,2025-05-03,2026-05-03
4,40,      0453-119,A,Hex Bolt M6x20 A4,2,PC,Subcontract,,03/04/2023,
4,50,      EC-51423,B,Diode Schottky 40V,3,EA,Item,D222-D224,2023-03-07,
4,60,      2901-859,,Foam Tape 12mm,2.662,L,Subcontract,,2026-04-16,
3,20,    EC-51431,A,MOSFET N-Ch 30V,6,EA,,R225-R230,06/19/2026,06/19/2027
3,30,    0712-330,B,O-Ring 24mm Viton,8,PCS,vendor,,2024-03-27,
3,40,    2902-437,-,Silicone Grease,0.02,ML,Item,,2024-07-15,
3,50,    SA-1173,,Control Board,1,EA,Item,,2025-04-03,2026-04-03
4,10,      2909-405,A,Foam Tape 12mm,2.796,KG,,,,
4,20,      SA-1175,2,Housing,1,EA,Item,,2025-05-03,
5,10,        EC-51438,,Capacitor 100nF 50V,2,EA,Item,L231-L232,07/21/2024,
5,20,        0712-330,,O-Ring 24mm Viton,4,EA,,,2026-08-14,
5,30,        2911-118,B,Washer M6 Plain,6,EA,,,11/09/2024,
5,40,        2914-605,B,O-Ring 24mm Viton,1,PC,item,,,
5,50,        EC-51441,01,Resistor 10k 0603,3,EA,,"C233, C234, C235",2024-02-03,
5,60,        EC-51446,B,Resistor 10k 0603,3,ea,,R236-R238,2024-09-16,
5,70,        2917-213,,Sheet Aluminium 1.5mm,4.308,KG,Item,,2026-03-27,
4,30,      2921-639,B,Bearing 6203-2RS,1,Each,Item,,04/04/2024,
4,40,      2926-005,B,Standoff M3x10,1,ea,Subcontract,,2024-05-12,
4,50,      0453-119,-,Hex Bolt M6x20 A4,8,EA,Make,,08/19/2024,
4,60,      0453-119,A,Hex Bolt M6x20 A4,24,EA,Vendor,,2025-08-10,
4,70,      EC-51450,01,Crystal 16MHz,1,ea,Make,R239,2024-03-03,2025-03-03
4,80,      2930-178,2,Cap Screw M4x12,6,EA,Buy,,2024-02-13,
2,130,  SA-1178,A,Coupling Set,1,EA,Ph,,2024-02-24,
3,10,    SA-1182,-,Filter Cartridge,2,EA,phantom,,2025-07-22,
4,10,      2932-928,1,Cable 4-Core Screened,2.839,G,item,,12/02/2025,12/02/2026
4,20,      2935-712,,Grommet 8mm,3,EA,Pegged supply,,2025-07-25,2026-07-25
4,30,      EC-51454,A,Capacitor 100nF 50V,4,Each,Purchased,"U240,U241,U242,U243",12/05/2024,
4,40,      2937-473,01,Spring 8N,2,EA,vendor,,2023-05-26,
4,50,      2944-746,B,Wire 0.75mm2 Red,0.752,M,Item,,2023-04-26,
4,60,      EC-51459,02,MOSFET N-Ch 30V,1,EA,Item,C244,2024-03-18,
4,70,      2949-970,C,Ribbon Cable 20W,1,EA,Item,,2024-02-12,
4,80,      0453-204,B,Washer M6 Plain A4,1,EA,Purchased,,2026-09-19,
4,90,      EC-51464,,Diode Schottky 40V,2,Ea,Item,"R245,R246",2025-11-23,2026-11-23
4,100,      EC-51466,B,Inductor 4u7,1,,vendor,D247,2025-07-11,
4,110,      2953-692,,Retaining Ring 20mm,2,EA,Buy,,,
4,120,      2956-860,02,Gasket PTFE 40mm,4,EA,Vendor,,06/12/2024,
3,20,    2962-759,B,Heat Shrink 6mm,8,Each,,,2024-06-07,
3,30,    2967-711,C,Ribbon Cable 20W,1,EA,Make,,2026-11-15,
3,40,    0712-330,,O-Ring 24mm Viton,1,EA,Pegged supply,,2024-12-15,
3,50,    0453-204,-,Washer M6 Plain A4,6,,Item,,,
3,60,    2971-829,C,Standoff M3x10,3,PCS,Vendor,,10/18/2026,
3,70,    EC-51469,01,LED Green 0603,1,pcs,Pegged supply,L248,2026-07-24,
3,80,    SA-1186,A,Valve Block,1,ea,Item,,2023-09-07,
4,10,      SA-1190,A,Valve Block,1,PCS,Item,,2023-03-24,
5,10,        EC-51470,A,Resistor 10k 0603,4,EA,Item,"C249, C250, C251, C252",2023-08-02,
5,20,        EC-51479,C,Capacitor 100nF 50V,1,EA,Pegged supply,C253,2026-07-05,
5,30,        EC-51484,,Voltage Regulator 3V3,3,PCS,Pegged supply,R254-R256,12/13/2024,
5,40,        2975-673,-,Solder Paste SAC305,0.02,EA,Purchased,,2025-05-14,
5,50,        EC-51490,2,Crystal 16MHz,4,PC,vendor,"C257,C258,C259,C260",2025-06-20,
5,60,        0461-018,A,Nut M6 Nyloc A4,2,pcs,Buy,,01/09/2026,
4,20,      2980-642,C,Hex Bolt M6x20,4,EA,Make,,2026-09-10,
4,30,      2986-054,A,Cable Tie 100mm,24,,Item,,2026-06-14,2027-06-14
4,40,      EC-51492,A,Resistor 10k 0603,1,EA,Pegged supply,R261,,
4,50,      EC-51500,01,Diode Schottky 40V,1,EA,Make,C262,,
4,60,      0461-018,A,Nut M6 Nyloc A4,6,EA,Pegged supply,,02/12/2026,
4,70,      2991-777,A,Extrusion 20x20 Slot,3.338,M,Item,,2025-08-17,
4,80,      2998-954,-,Thread Locker Medium,0,EA,Make,,2025-01-27,
4,90,      3005-634,A,Wire 0.75mm2 Black,3.273,ML,Item,,2023-02-08,
3,90,    3007-810,A,Retaining Ring 20mm,4,EA,Item,,2024-10-06,
3,100,    SA-1192,1,Bracket Set,1,,Item,,04/15/2026,
4,10,      EC-51505,A,Capacitor 100nF 50V,2,,Purchased,"R263, R264",2024-10-17,
4,20,      3010-787,02,Bushing Bronze 10mm,6,EA,Buy,,2025-08-08,
4,30,      3012-338,,Conformal Coating,0,,Make,,2023-12-09,
4,40,      SA-1195,1,Bracket Set,1,Ea,item,,2023-12-04,
5,10,        3013-640,,Washer M6 Plain,2,PCS,Vendor,,2024-06-01,
5,20,        3018-880,A,Sealant Silicone Clear,1.103,L,Item,,2025-02-04,
5,30,        3024-930,A,Strip Copper 3mm,1.906,M,Item,,,
5,40,        3025-087,B,Bearing 6203-2RS,4,EA,Subcontract,,2023-11-09,
5,50,        0461-018,A,Nut M6 Nyloc A4,1,EA,vendor,,08/07/2024,
4,50,      3030-025,-,Nut M6 Nyloc,1,,,,2023-07-08,
4,60,      3037-930,02,Braided Sleeve 10mm,"2,323",M,Item,,2024-07-22,
4,70,      EC-51513,,Resistor 10k 0603,1,ea,Purchased,C265,2024-09-17,
4,80,      3040-547,01,Standoff M3x10,12,EA,Standard,,10/14/2026,10/14/2027
4,90,      0461-018,A,Nut M6 Nyloc A4,12,Ea,Item,,2023-07-04,
4,100,      EC-51517,02,Resistor 10k 0603,4,PCS,Pegged supply,"D266, D267, D268, D269",2026-03-09,
1,,WF-3400,C,Merlin 90 Inline Analyser,1,EA,Item,,2025-06-16,
2,10,  SA-1197,02,Bracket Set,1,PCS,Make,,2023-04-07,
3,10,    SA-1199,D,Rotor Assembly,4,EA,Make,,2024-05-18,
4,10,      3042-237,C,Heat Shrink 6mm,1,Each,item,,,
4,20,      3049-114,B,Wire 0.75mm2 Black,2.891,KG,Item,,01/07/2025,
4,30,      3054-864,,Solder Paste SAC305,0.02,,Buy,,11/17/2023,
4,40,      0461-018,B,Nut M6 Nyloc A4,4,EA,Pegged supply,,,
4,50,      EC-51522,1,LED Green 0603,1,Ea,Item,L270,2023-12-20,
4,60,      3057-025,C,Label Serial 30x15,6,ea,,,,
4,70,      3058-631,02,Strip Copper 3mm,2.882,SQM,Vendor,,09/21/2025,09/21/2026
4,80,      3062-135,-,Conformal Coating,0,EA,Buy,,2025-06-25,
4,90,      0453-204,-,Washer M6 Plain A4,6,EA,Item,,2024-11-18,
4,100,      3064-257,02,Cable 4-Core Screened,0.785,MM,Standard,,2023-03-26,
4,110,      3067-355,A,Grommet 8mm,2,PC,item,,2024-11-22,
4,120,      3071-892,,Grommet 8mm,2,ea,Standard,,2025-12-10,
3,20,    SA-1201,2,Manifold,1,EA,Item,,2026-10-06,2027-10-06
4,10,      EC-51523,C,MOSFET N-Ch 30V,1,EA,Purchased,C271,2024-02-05,
4,20,      SA-1205,B,Control Board,1,EA,Item,,,
5,10,        3078-882,A,Strip Copper 3mm,0.156,SQM,item,,2024-04-18,
5,20,        0712-330,B,O-Ring 24mm Viton,2,ea,item,,2023-10-26,
5,30,        EC-51531,1,LED Green 0603,1,,Purchased,C272,2026-08-14,
5,40,        0712-330,A,O-Ring 24mm Viton,8,EA,vendor,,,
5,50,        EC-51536,1,Voltage Regulator 3V3,1,PC,Subcontract,C273,,
5,60,        3084-504,,Isopropyl Alcohol,0,ML,Pegged supply,,2026-07-01,
5,70,        EC-51544,01,Resistor 10k 0603,1,,Purchased,R274,,
5,80,        3085-642,1,Retaining Ring 20mm,8,PCS,Purchased,,,
4,30,      3086-402,A,Cable 4-Core Screened,3.048,M,,,01/27/2026,
4,40,      3090-573,C,Label Serial 30x15,8,PCS,Buy,,2026-12-13,
4,50,      EC-51545,A,Resistor 10k 0603,3,EA,,"U275,U276,U277",2025-04-06,
4,60,      3097-569,A,Epoxy Adhesive 2-Part,AR,EA,,,2025-08-20,
4,70,      EC-51549,A,MOSFET N-Ch 30V,2,EA,Buy,R278-R279,,
4,80,      SA-1209,,Drive Unit,1,,Item,,2023-11-04,
5,10,        3099-928,A,Washer M6 Plain,8,PCS,Buy,,2023-09-19,
5,20,        0453-204,B,Washer M6 Plain A4,8,EA,Item,,11/04/2026,
5,30,        0461-018,A,Nut M6 Nyloc A4,8,EA,Item,,2025-01-02,
5,40,        3101-915,2,Standoff M3x10,,EA,Pegged supply,,,
5,50,        EC-51556,A,Crystal 16MHz,1,EA,Item,R280,12/01/2024,
5,60,        3105-253,B,Cable Tie 100mm,1,PCS,Subcontract,,2024-03-02,
4,90,      3112-419,C,Cable Tie 100mm,1,EA,Subcontract,,2026-02-04,
3,30,    SA-1210,C,Control Board,1,PCS,Item,,2023-10-07,2024-10-07
4,10,      3117-144,-,Isopropyl Alcohol,0,ML,Item,,2025-04-10,
4,20,      0461-018,-,Nut M6 Nyloc A4,6,Ea,vendor,,2024-03-17,
4,30,      3118-834,B,Braided Sleeve 10mm,2.822,G,Purchased,,2026-05-02,
4,40,      3122-656,2,Standoff M3x10,1,ea,item,,2024-05-15,2025-05-15
4,50,      3129-016,,Connector Housing 6P,24,EA,Pegged supply,,2025-08-03,
4,60,      0461-018,A,Nut M6 Nyloc A4,1,EA,Item,,2023-05-20,
4,70,      3130-963,A,Dowel Pin 5x16,6,EA,Item,,2026-12-02,
4,80,      3132-784,02,Cable 4-Core Screened,3.912,L,Subcontract,,2025-08-27,
4,90,      SA-1211,2,Filter Cartridge,2,EA,Standard,,01/14/2025,
5,10,        EC-51565,C,LED Green 0603,1,PC,Buy,C281,2024-11-08,
5,20,        3133-572,A,Connector Housing 6P,1,EA,Make,,2026-02-17,
5,30,        3138-881,,Sheet Aluminium 1.5mm,0.808,KG,Make,,2023-04-23,2024-04-23
5,40,        3144-488,C,Strip Copper 3mm,2.865,L,Item,,2025-06-09,2026-06-09
5,50,        3148-042,B,Braided Sleeve 10mm,4.086,M,item,,05/04/2026,
4,100,      3155-461,B,Gasket PTFE 40mm,3,,Subcontract,,2026-07-11,
4,110,      3158-251,2,Cable Tie 100mm,3,EA,Item,,2024-05-11,2025-05-11
3,40,    3159-817,D,Ribbon Cable 20W,1,EA,Make,,2025-06-15,
3,50,    3164-976,B,Sheet Aluminium 1.5mm,3.986,KG,Pegged supply,,2024-01-03,
2,20,  3169-600,1,Connector Housing 6P,6,ea,item,,,
2,30,  SA-1214,02,Housing,2,EA,Phantom,,,
3,10,    0453-119,A,Hex Bolt M6x20 A4,1,PCS,Item,,11/18/2026,
3,20,    3173-337,C,Standoff M3x10,1,,Vendor,,2023-09-04,
3,30,    SA-1217,1,Display Module,1,EA,Item,,2024-11-22,
4,10,      0712-330,,O-Ring 24mm Viton,24,EA,vendor,,2026-03-16,
4,20,      3174-768,02,Bearing 6203-2RS,2,EA,Buy,,2024-11-08,
4,30,      0461-018,,Nut M6 Nyloc A4,6,pcs,Purchased,,2025-07-14,
4,40,      EC-51573,D,MOSFET N-Ch 30V,4,pcs,Pegged supply,R282-R285,2024-07-22,
4,50,      0461-018,,Nut M6 Nyloc A4,1,ea,Vendor,,2024-07-15,
4,60,      SA-1219,A,Backplane,1,PC,Item,,2026-07-05,
5,10,        0461-018,B,Nut M6 Nyloc A4,1,EA,Make,,09/03/2023,
5,20,        EC-51577,01,Inductor 4u7,4,EA,,"R286,R287,R288,R289",2024-03-08,
5,30,        3177-345,,Tube PTFE 4x6mm,1.519,G,vendor,,2023-04-18,
5,40,        3178-711,A,Terminal Block 4W,8,PC,Item,,,
5,50,        0712-330,,O-Ring 24mm Viton,1,PC,Item,,2025-03-10,2026-03-10
5,60,        0453-204,-,Washer M6 Plain A4,1,EA,Purchased,,02/13/2026,
4,70,      SA-1221,D,Sensor Stack,1,EA,Item,,2024-08-15,
5,10,        3184-205,D,Bearing 6203-2RS,1,EA,Make,,2025-08-21,
5,20,        3187-645,A,Gasket PTFE 40mm,2,EA,item,,2023-06-27,2024-06-27
5,30,        EC-51581,C,LED Green 0603,1,EA,Item,C290,2025-09-03,
5,40,        0712-330,,O-Ring 24mm Viton,1,,Buy,,2026-03-14,2027-03-14
5,50,        EC-51585,02,LED Green 0603,1,EA,item,C291,2023-09-14,2024-09-14
3,40,    3190-135,01,Ribbon Cable 20W,1,ea,Pegged,,2024-06-04,
3,50,    SA-1222,A,Rotor Assembly,1,PC,Phantom,,2023-07-09,
4,10,      EC-51587,A,Inductor 4u7,1,ea,Item,R292,2024-08-05,
4,20,      SA-1224,B,Gearbox,1,EA,Item,,2023-07-26,
5,10,        0453-119,,Hex Bolt M6x20 A4,1,ea,Item,,2023-05-14,
5,20,        EC-51588,01,LED Green 0603,1,,,C293,2026-05-22,
5,30,        EC-51594,B,Diode Schottky 40V,2,PCS,Item,"R294,R295",2023-03-14,
5,40,        3197-432,-,Sheet Aluminium 1.5mm,2.738,SQM,Buy,,2025-06-04,
4,30,      3201-160,1,Standoff M3x10,4,EA,,,07/07/2023,07/07/2024
4,40,      3202-523,,Foam Tape 12mm,3.296,M,Item,,2026-03-18,
4,50,      EC-51602,2,Resistor 10k 0603,3,PCS,Item,"C296,C297,C298",2023-01-22,
4,60,      3207-692,C,Spring 8N,2,PC,Purchased,,2026-09-05,
3,60,    EC-51610,C,MOSFET N-Ch 30V,1,EA,Subcontract,C299,,
2,40,  SA-1227,A,Sensor Stack,1,PC,Item,,2024-07-26,
3,10,    3213-128,01,Retaining Ring 20mm,8,Each,Purchased,,2024-05-20,
3,20,    SA-1230,02,Impeller Assembly,2,EA,Item,,2025-04-10,
4,10,      3215-970,,Wire 0.75mm2 Black,3.247,KG,Item,,2023-12-04,
4,20,      3222-806,B,Terminal Block 4W,1,EA,Purchased,,2025-08-07,
4,30,      3226-678,01,Strip Copper 3mm,2.863,MM,,,2025-03-20,
4,40,      3229-548,D,Shaft 12mm Stainless,8,PCS,Item,,,
4,50,      3231-782,01,Label Serial 30x15,8,Each,Buy,,2023-01-24,
4,60,      3237-372,B,Bearing 6203-2RS,1,PCS,Item,,,
4,70,      3241-481,A,Braided Sleeve 10mm,1.93,M,Buy,,,
4,80,      0453-204,B,Washer M6 Plain A4,6,PC,Item,,,
4,90,      SA-1233,A,Cable Harness,1,pcs,Item,,2024-06-25,
5,10,        EC-51618,B,Inductor 4u7,4,ea,,"R300, R301, R302, R303",2023-11-28,
5,20,        0461-018,A,Nut M6 Nyloc A4,3,PC,Item,,2025-02-21,
5,30,        EC-51623,,Diode Schottky 40V,1,,item,R304,2023-12-08,
5,40,        3245-207,A,Epoxy Adhesive 2-Part,0,ML,Subcontract,,,
5,50,        3246-419,02,Wire 0.75mm2 Black,0.853,ML,ITEM,,2024-01-03,
4,100,      3249-858,A,Thread Locker Medium,0.02,EA,Purchased,,,
4,110,      0453-204,,Washer M6 Plain A4,1,,item,,2023-01-28,
3,30,    3256-542,,Bushing Bronze 10mm,1,EA,,,2023-09-18,
3,40,    3261-083,D,Hex Bolt M6x20,3,PC,Make,,2025-11-02,
3,50,    3264-914,,Wire 0.75mm2 Red,0.597,ML,Subcontract,,11/28/2026,
2,50,  SA-1234,,Sensor Stack,1,PC,Item,,2023-05-23,
3,10,    3268-866,C,Bearing 6203-2RS,8,PCS,Item,,2026-03-10,
3,20,    SA-1238,A,Coupling Set,1,,Ph,,2026-02-04,
4,10,      SA-1240,01,Gearbox,4,EA,Item,,11/24/2025,
5,10,        EC-51627,02,Capacitor 100nF 50V,2,PC,Purchased,"C305,C306",,
5,20,        3274-414,C,Bearing 6203-2RS,1,ea,Buy,,2026-05-15,
5,30,        EC-51632,B,LED Green 0603,6,EA,Purchased,"R307,R308,R309,R310,R311,R312",2025-03-12,
4,20,      3275-440,A,Strip Copper 3mm,1.691,G,Purchased,,2026-09-26,
4,30,      3279-836,,Solder Paste SAC305,0.02,G,Subcontract,,07/05/2024,
4,40,      0453-204,,Washer M6 Plain A4,1,ea,Vendor,,2023-04-28,2024-04-28
4,50,      3285-321,02,Cable 4-Core Screened,0.576,M,Purchased,,2024-08-03,
3,30,    3292-529,A,Sealant Silicone Clear,3.586,KG,Pegged,,04/06/2023,
3,40,    SA-1241,2,Coupling Set,1,EA,Standard,,2023-08-07,
4,10,      EC-51639,B,Diode Schottky 40V,1,Each,Standard,U313,,
4,20,      EC-51640,B,Voltage Regulator 3V3,1,EA,Subcontract,D314,2023-01-27,
4,30,      0453-119,,Hex Bolt M6x20 A4,4,EA,,,2024-11-06,2025-11-06
4,40,      EC-51649,B,Resistor 10k 0603,2,EA,Purchased,R315-R316,,
4,50,      EC-51654,02,Inductor 4u7,4,EA,Item,"R317,R318,R319,R320",2026-08-15,2027-08-15
4,60,      3297-999,,Washer M6 Plain,1,PC,item,,2023-04-07,
4,70,      SA-1245,2,Impeller Assembly,1,PC,item,,2025-05-17,
5,10,        3299-329,01,Gasket PTFE 40mm,2,PCS,Make,,2023-12-20,
5,20,        3302-877,,Solder Paste SAC305,0,G,Item,,2023-10-25,
5,30,        0453-204,A,Washer M6 Plain A4,8,PCS,Pegged,,2024-05-06,
5,40,        3306-264,A,Strip Copper 3mm,2.584,M,Buy,,2024-01-21,
5,50,        3310-531,C,Nut M6 Nyloc,3,EA,Buy,,2025-01-15,
5,60,        EC-51657,2,Crystal 16MHz,2,ea,Standard,"U321,U322",2026-06-04,2027-06-04
5,70,        3317-666,D,Retaining Ring 20mm,2,ea,Item,,,
5,80,        EC-51661,B,Voltage Regulator 3V3,1,EA,Subcontract,R323,01/03/2023,
4,80,      SA-1247,A,Cable Harness,2,ea,item,,2024-02-13,
5,10,        3321-207,A,Ribbon Cable 20W,2,EA,vendor,,2025-06-14,
5,20,        3324-214,B,Bearing 6203-2RS,8,ea,Pegged supply,,2026-10-07,2027-10-07
5,30,        EC-51665,A,Crystal 16MHz,2,PC,vendor,"U324, U325",2024-06-23,2025-06-23
5,40,        3329-793,-,Isopropyl Alcohol,AR,,Make,,2023-01-11,
5,50,        3335-236,,Bushing Bronze 10mm,3,Ea,Make,,2024-05-23,
5,60,        EC-51668,-,Inductor 4u7,3,PCS,Item,"R326, R327, R328",,
5,70,        0712-330,B,O-Ring 24mm Viton,8,PCS,Item,,2023-02-28,
5,80,        3342-640,A,Cable 4-Core Screened,2.414,KG,item,,2024-06-02,
4,90,      EC-51674,01,LED Green 0603,1,EA,Purchased,R329,2026-02-27,
4,100,      3347-793,B,Gasket PTFE 40mm,1,EA,,,09/07/2023,09/07/2024
4,110,      SA-1249,A,Seal Kit,1,EA,Item,,2024-03-04,
5,10,        0453-204,B,Washer M6 Plain A4,2,ea,Buy,,2026-12-20,
5,20,        0453-204,-,Washer M6 Plain A4,6,ea,Item,,2025-01-14,
5,30,        0461-018,A,Nut M6 Nyloc A4,4,EA,Vendor,,2023-12-12,
5,40,        3348-389,B,Standoff M3x10,4,EA,Item,,11/25/2025,
3,50,    SA-1253,,Bracket Set,1,pcs,Phantom,,2026-06-25,
4,10,      EC-51677,C,Voltage Regulator 3V3,1,PC,Buy,D330,2025-06-15,
4,20,      3354-233,01,Connector Housing 6P,1,pcs,Item,,2025-10-08,2026-10-08
4,30,      SA-1254,2,Filter Cartridge,1,,item,,2023-06-06,
5,10,        EC-51678,B,Inductor 4u7,1,EA,vendor,U331,2026-01-16,
5,20,        3358-400,2,Nut M6 Nyloc,1,EA,Vendor,,2024-10-03,
5,30,        3362-153,B,Hex Bolt M6x20,3,pcs,Subcontract,,09/08/2025,
5,40,        3366-107,B,Washer M6 Plain,12,PC,Purchased,,2026-05-03,
5,50,        0453-119,A,Hex Bolt M6x20 A4,1,EA,Pegged,,2024-10-25,
5,60,        3369-932,01,Cable Tie 100mm,1,EA,Pegged,,2025-03-13,
4,40,      0453-204,,Washer M6 Plain A4,12,Ea,Purchased,,02/03/2024,
4,50,      3376-784,-,Solder Paste SAC305,0,G,Item,,,
4,60,      SA-1256,A,Pump Head,1,EA,PHANTOM,,2025-10-20,
5,10,        0461-018,A,Nut M6 Nyloc A4,4,EA,Item,,2024-05-06,
5,20,        3383-305,B,Wire 0.75mm2 Black,1.494,M,item,,2026-06-24,
5,30,        3385-196,01,Wire 0.75mm2 Black,2.615,ML,Item,,2025-12-26,
5,40,        0461-018,A,Nut M6 Nyloc A4,2,EA,Subcontract,,01/24/2024,
5,50,        3387-619,,Retaining Ring 20mm,4,,Pegged supply,,2023-01-18,
5,60,        0453-204,,Washer M6 Plain A4,2,EA,Pegged supply,,,
4,70,      EC-51683,2,Voltage Regulator 3V3,1,PCS,Buy,R332,09/06/2023,
