Harbour Lane Logistics
Outbound shipments
Exported 2026-06-30

Tracking No,Ship Date,Destination Port,Carrier,Weight (kg),Pallet Count,Declared Value,Customs Ref
HL-000920,2026-02-09,Felixstowe,DHL,9.72,6,7140.46,CR-00920
HL-000921,2026-05-23,Piraeus,DHL,286.77,8,26309.92,CR-00921
HL-000922,2026-04-29,Rotterdam,Maersk,164.93,1,44493.4,CR-00922
HL-000923,2026-03-31,Rotterdam,DHL,229.43,10,46655.61,CR-00923
HL-000924,2026-01-04,Rotterdam,Maersk,218.49,14,7678.94,
HL-000925,2026-04-10,Gdansk,FedEx,197.05,2,22048.99,CR-00925
HL-000926,2026-06-18,Gdansk,UPS,323.17,4,39499.95,
HL-000927,2026-01-01,Piraeus,Maersk,299.24,5,39203.55,CR-00927
HL-000928,2026-01-27,Gdansk,UPS,141.4,22,9725.27,CR-00928
HL-000929,2026-03-25,Gdansk,FedEx,223.42,23,26095.71,CR-00929
HL-000930,2026-04-24,Piraeus,FedEx,57.09,3,3156.87,CR-00930
HL-000931,2026-04-19,Gdansk,Maersk,362.18,9,11245.95,CR-00931
HL-000932,2026-01-04,Gdansk,UPS,107.14,9,21312.03,CR-00932
HL-000933,2026-05-21,Algeciras,Maersk,47.93,22,47711.31,CR-00933
HL-000934,2026-03-08,Gdansk,UPS,309.14,3,18179.95,CR-00934
HL-000935,2026-02-05,Piraeus,DHL,192.56,23,17799.31,CR-00935
HL-000936,2026-04-25,Piraeus,DHL,190.44,9,24476.73,CR-00936
HL-000937,2026-02-16,Algeciras,UPS,378.55,21,44881.83,CR-00937
HL-000938,2026-01-17,Rotterdam,Maersk,158.59,14,5137.6,CR-00938
HL-000939,2026-04-14,Gdansk,DHL,330.05,26,7253.48,CR-00939
HL-000940,2026-03-28,Rotterdam,FedEx,266.01,24,821.78,CR-00940
HL-000941,2026-04-08,Rotterdam,DHL,291.23,13,7663.44,CR-00941
HL-000942,2026-01-30,Piraeus,DHL,365.17,10,12166.68,CR-00942
HL-000943,2026-06-06,Felixstowe,Maersk,164.81,22,35499.11,CR-00943
HL-000944,2026-04-08,Piraeus,FedEx,148.74,16,5743.91,CR-00944
HL-000945,2026-06-15,Gdansk,DHL,98.58,14,25752.93,
HL-000946,2026-03-02,Felixstowe,UPS,61.31,6,44401.87,CR-00946
HL-000947,2026-03-29,Felixstowe,Maersk,368.44,10,15336.19,CR-00947
HL-000948,2026-02-26,Felixstowe,Maersk,135.1,24,42782.22,CR-00948
HL-000949,2026-03-13,Algeciras,DHL,157.24,15,39987.59,CR-00949
HL-000950,2026-01-13,Felixstowe,Maersk,101.65,20,36814.72,CR-00950
HL-000951,2026-02-04,Gdansk,DHL,227.72,10,22861.14,CR-00951
HL-000952,2026-06-19,Felixstowe,Maersk,45.15,17,42727.18,CR-00952
HL-000953,2026-01-23,Felixstowe,UPS,178.62,4,13404.82,CR-00953
HL-000954,2026-01-21,Rotterdam,FedEx,200.78,3,34214.36,CR-00954
HL-000955,2026-03-11,Felixstowe,DHL,257.32,21,46063.98,CR-00955
HL-000956,2026-05-25,Rotterdam,DHL,257.51,23,9994.85,CR-00956
HL-000957,2026-01-06,Gdansk,DHL,361.41,22,21762.86,CR-00957
HL-000958,2026-05-29,Algeciras,UPS,260.21,10,39543.24,CR-00958
HL-000959,2026-02-15,Algeciras,DHL,173.79,19,154.68,CR-00959
HL-000960,2026-04-22,Piraeus,UPS,200.21,5,24889.68,CR-00960
HL-000961,2026-04-26,Felixstowe,FedEx,277.7,23,6294.98,CR-00961
HL-000962,2026-06-10,Gdansk,Maersk,4.4,3,7395.12,CR-00962
HL-000963,2026-05-25,Algeciras,DHL,297.33,18,38696.76,CR-00963
HL-000964,2026-04-14,Rotterdam,Maersk,109.38,19,16730.96,CR-00964
HL-000965,2026-04-12,Rotterdam,DHL,317.29,25,7921.17,CR-00965
HL-000966,2026-05-19,Algeciras,DHL,164.16,14,26198.31,
HL-000967,2026-02-19,Piraeus,DHL,349.7,23,36359.41,CR-00967
HL-000968,2026-06-14,Piraeus,UPS,117.56,2,19290.01,
HL-000969,2026-01-06,Rotterdam,FedEx,365.01,21,9449.36,CR-00969
HL-000970,2026-04-21,Rotterdam,DHL,364.59,5,11631.03,CR-00970
HL-000971,2026-04-16,Piraeus,UPS,302.65,13,36429.6,CR-00971
HL-000972,2026-06-21,Algeciras,UPS,53.04,19,4773.24,CR-00972
HL-000973,2026-06-08,Algeciras,UPS,161.19,12,40211.62,CR-00973
HL-000974,2026-06-05,Rotterdam,Maersk,14.48,19,29749.13,CR-00974
HL-000975,2026-06-28,Rotterdam,DHL,79.78,21,8836.48,CR-00975
HL-000976,2026-04-19,Felixstowe,DHL,50.93,17,33901.06,CR-00976
HL-000977,2026-06-01,Felixstowe,DHL,258.48,23,37944.48,CR-00977
HL-000978,2026-05-10,Felixstowe,UPS,60.67,10,38766.69,CR-00978
HL-000979,2026-01-11,Piraeus,DHL,70.59,25,26942.27,CR-00979
HL-000980,2026-04-03,Felixstowe,DHL,245.09,24,3553.46,CR-00980
HL-000981,2026-04-25,Rotterdam,FedEx,350.2,16,14765.42,CR-00981
HL-000982,2026-02-20,Rotterdam,DHL,87.34,15,35410.31,CR-00982
HL-000983,2026-04-13,Rotterdam,Maersk,70.25,8,8164.25,CR-00983
HL-000984,2026-04-24,Rotterdam,DHL,137.99,2,1516.71,CR-00984
HL-000985,2026-04-23,Algeciras,FedEx,347.46,14,32986.31,
HL-000986,2026-01-06,Rotterdam,DHL,319.82,2,46818.33,CR-00986
HL-000987,2026-03-01,Gdansk,FedEx,273.7,2,41713.29,CR-00987
HL-000988,2026-05-16,Felixstowe,FedEx,92.03,24,13363.47,CR-00988
HL-000989,2026-04-18,Gdansk,Maersk,294.74,19,33572.95,CR-00989
HL-000990,2026-03-30,Gdansk,DHL,23.58,5,42774.6,CR-00990
HL-000991,2026-05-03,Rotterdam,FedEx,59.45,26,980.61,CR-00991
HL-000992,2026-02-20,Piraeus,DHL,33.58,23,8360.37,CR-00992
HL-000993,2026-04-02,Gdansk,DHL,148.93,16,12677.79,CR-00993
HL-000994,2026-05-24,Piraeus,DHL,272.75,16,46751.41,CR-00994
HL-000995,2026-02-06,Gdansk,DHL,236.7,19,38625.85,CR-00995
HL-000996,2026-04-06,Felixstowe,Maersk,289.68,11,32684.01,CR-00996
HL-000997,2026-02-08,Felixstowe,DHL,293.14,24,17143.2,
HL-000998,2026-06-07,Rotterdam,UPS,288.57,22,19761.97,CR-00998
HL-000999,2026-03-07,Felixstowe,Maersk,214.1,16,33403.88,CR-00999
HL-001000,2026-06-17,Rotterdam,UPS,366.37,4,7798.61,CR-01000
HL-001001,2026-01-12,Rotterdam,DHL,138.23,22,8084.13,CR-01001
HL-001002,2026-02-27,Piraeus,FedEx,27.3,20,46663.02,CR-01002
HL-001003,2026-03-26,Algeciras,UPS,332.67,21,20299.99,CR-01003
HL-001004,2026-03-08,Piraeus,FedEx,197.85,18,35969.17,CR-01004
HL-001005,2026-05-01,Algeciras,FedEx,41.5,19,47968.79,CR-01005
HL-001006,2026-06-21,Algeciras,FedEx,226.7,20,21078.75,CR-01006
HL-001007,2026-02-23,Rotterdam,FedEx,61.29,4,12331.69,CR-01007
HL-001008,2026-04-03,Rotterdam,Maersk,367.34,9,5934.51,CR-01008
HL-001009,2026-04-01,Algeciras,DHL,221.85,23,5572.62,CR-01009
HL-001010,2026-06-18,Rotterdam,UPS,66.18,16,36338.9,CR-01010
HL-001011,2026-03-23,Rotterdam,DHL,143.78,5,20575.71,CR-01011
HL-001012,2026-03-11,Algeciras,UPS,190.73,15,35148.7,
HL-001013,2026-03-10,Rotterdam,Maersk,212.44,7,24005.35,
HL-001014,2026-04-12,Algeciras,Maersk,238.63,14,31532.67,CR-01014
HL-001015,2026-02-07,Gdansk,DHL,30.69,13,21940.19,CR-01015
HL-001016,2026-06-28,Piraeus,DHL,111.89,20,39137.07,CR-01016
HL-001017,2026-06-02,Rotterdam,DHL,101.04,18,37863.09,CR-01017
HL-001018,2026-03-22,Gdansk,DHL,364.22,8,18411.64,
HL-001019,2026-02-24,Piraeus,DHL,49.38,9,14613.62,CR-01019
HL-001020,2026-05-05,Rotterdam,FedEx,103.83,20,9527.77,CR-01020
HL-001021,2026-02-23,Gdansk,FedEx,203.63,15,18033.02,CR-01021
HL-001022,2026-04-15,Gdansk,UPS,5.07,14,13711.39,CR-01022
HL-001023,2026-05-11,Rotterdam,DHL,75.2,9,26476.2,CR-01023
HL-001024,2026-04-26,Rotterdam,UPS,205.53,6,43066.25,CR-01024
HL-001025,2026-04-18,Felixstowe,DHL,182.16,21,1988.84,
HL-001026,2026-05-22,Rotterdam,FedEx,344.08,5,9936.74,CR-01026
HL-001027,2026-06-07,Gdansk,Maersk,34,7,33952.87,CR-01027
HL-001028,2026-02-24,Felixstowe,UPS,352.69,3,47897.62,CR-01028
HL-001029,2026-02-02,Rotterdam,UPS,58.97,17,42941.57,CR-01029
HL-001030,2026-05-13,Gdansk,UPS,369.08,12,40705.46,CR-01030
HL-001031,2026-02-11,Felixstowe,UPS,349.13,24,7264.63,CR-01031
HL-001032,2026-02-16,Felixstowe,DHL,320.53,20,36357.45,CR-01032
HL-001033,2026-04-27,Felixstowe,DHL,51.76,18,19815.88,CR-01033
HL-001034,2026-01-20,Rotterdam,UPS,196.63,15,25964.83,CR-01034
HL-001035,2026-03-28,Algeciras,FedEx,288.36,11,18658.76,CR-01035
HL-001036,2026-01-12,Gdansk,FedEx,254.03,21,24068.8,CR-01036
HL-001037,2026-02-08,Algeciras,UPS,304.66,20,9269.14,CR-01037
HL-001038,2026-01-15,Rotterdam,FedEx,211,5,13168.67,CR-01038
HL-001039,2026-01-28,Felixstowe,UPS,317.61,20,44375.36,CR-01039
HL-001040,2026-01-06,Piraeus,UPS,136.49,6,23846.33,CR-01040
HL-001041,2026-04-06,Gdansk,Maersk,85.13,23,39563.23,CR-01041
HL-001042,2026-03-02,Felixstowe,UPS,83.81,9,6537.47,CR-01042
HL-001043,2026-01-19,Rotterdam,Maersk,156.86,4,8132.36,CR-01043
HL-001044,2026-01-14,Piraeus,DHL,31.86,2,31798.84,
HL-001045,2026-04-13,Rotterdam,DHL,116.13,10,32396.67,CR-01045
HL-001046,2026-05-30,Algeciras,UPS,306.11,11,39166.18,CR-01046
HL-001047,2026-02-05,Rotterdam,FedEx,306.8,24,10803.71,CR-01047
HL-001048,2026-03-29,Rotterdam,Maersk,34.68,21,26412.27,CR-01048
HL-001049,2026-02-10,Rotterdam,UPS,32.43,5,6254.12,CR-01049
HL-001050,2026-04-13,Piraeus,DHL,76.42,11,43454.52,CR-01050
HL-001051,2026-01-29,Piraeus,DHL,159.62,14,35194.55,CR-01051
HL-001052,2026-02-16,Rotterdam,DHL,193.85,21,6990.35,CR-01052
HL-001053,2026-04-10,Algeciras,Maersk,40.98,4,24151.94,CR-01053
HL-001054,2026-03-16,Felixstowe,UPS,16.14,18,22883.61,CR-01054
HL-001055,2026-01-23,Gdansk,DHL,164.55,24,17641.01,CR-01055
HL-001056,2026-01-02,Gdansk,DHL,114.28,15,7305.86,CR-01056
HL-001057,2026-06-24,Rotterdam,Maersk,200.09,7,21012.28,CR-01057
HL-001058,2026-05-31,Gdansk,DHL,240.42,8,13666.77,CR-01058
HL-001059,2026-01-01,Piraeus,Maersk,255.86,24,20938,CR-01059
HL-001060,2026-03-09,Rotterdam,UPS,139.96,24,3516.08,CR-01060
HL-001061,2026-06-21,Rotterdam,DHL,328.56,15,44230.57,CR-01061
HL-001062,2026-01-08,Rotterdam,UPS,365.11,11,15663.91,CR-01062
HL-001063,2026-01-05,Rotterdam,UPS,168.13,6,21782.34,CR-01063
HL-001064,2026-05-24,Algeciras,FedEx,101.24,6,38620.22,CR-01064
HL-001065,2026-01-22,Piraeus,FedEx,159.84,10,44259.26,CR-01065
HL-001066,2026-04-15,Felixstowe,DHL,58.93,25,30592.96,CR-01066
HL-001067,2026-02-16,Felixstowe,UPS,249.64,12,4310.36,CR-01067
HL-001068,2026-06-16,Rotterdam,FedEx,308.86,12,41571.85,CR-01068
HL-001069,2026-01-28,Algeciras,UPS,320.25,10,33454.46,CR-01069
HL-001070,2026-05-31,Rotterdam,DHL,63.91,18,35641.32,CR-01070
HL-001071,2026-06-23,Felixstowe,FedEx,123.89,10,39106.41,CR-01071
HL-001072,2026-06-09,Gdansk,UPS,28.03,4,2334.53,CR-01072
HL-001073,2026-02-21,Felixstowe,UPS,199.17,13,14979.36,CR-01073
HL-001074,2026-06-24,Felixstowe,DHL,34.16,19,1337.11,CR-01074
HL-001075,2026-01-05,Piraeus,UPS,250.81,19,35934.75,CR-01075
HL-001076,2026-04-11,Felixstowe,FedEx,302.39,4,44743.54,CR-01076
HL-001077,2026-02-11,Felixstowe,UPS,117.62,11,18990.88,CR-01077
HL-001078,2026-06-30,Gdansk,UPS,60.5,10,13181.56,CR-01078
HL-001079,2026-02-04,Rotterdam,Maersk,205.01,14,13431.68,CR-01079
HL-001080,2026-01-10,Felixstowe,DHL,131.3,17,41712.1,CR-01080
HL-001081,2026-02-12,Rotterdam,Maersk,274.85,9,14095.05,CR-01081
HL-001082,2026-04-08,Gdansk,Maersk,254.05,2,20567.18,CR-01082
HL-001083,2026-05-27,Felixstowe,DHL,25.29,15,42491.67,CR-01083
HL-001084,2026-02-14,Algeciras,FedEx,345.77,9,11098.05,CR-01084
HL-001085,2026-01-08,Rotterdam,DHL,330.14,5,22351.06,CR-01085
HL-001086,2026-03-28,Felixstowe,DHL,351.85,20,23733.33,CR-01086
HL-001087,2026-05-03,Gdansk,DHL,106.11,10,35316.13,CR-01087
HL-001088,2026-04-06,Piraeus,UPS,88.04,23,36929.95,CR-01088
HL-001089,2026-03-11,Piraeus,UPS,296.91,9,33847.23,CR-01089
HL-001090,2026-04-21,Rotterdam,FedEx,192.58,1,7535.46,CR-01090
HL-001091,2026-04-11,Rotterdam,Maersk,193.45,20,23214.67,CR-01091
HL-001092,2026-04-07,Gdansk,DHL,16.31,10,36302.24,CR-01092
HL-001093,2026-01-25,Rotterdam,UPS,231.44,12,4758.77,CR-01093
HL-001094,2026-05-29,Gdansk,DHL,110.78,4,9854.32,CR-01094
HL-001095,2026-01-15,Rotterdam,Maersk,333.39,19,28581.73,CR-01095
HL-001096,2026-03-17,Gdansk,FedEx,38.92,4,45175.76,CR-01096
HL-001097,2026-06-09,Rotterdam,Maersk,101.13,11,21925.5,CR-01097
HL-001098,2026-03-21,Algeciras,DHL,81.3,22,40499.06,
HL-001099,2026-04-09,Rotterdam,UPS,32.13,3,19543.2,CR-01099
HL-001100,2026-05-29,Rotterdam,DHL,20.05,22,37092.14,CR-01100
HL-001101,2026-06-10,Piraeus,DHL,141.3,13,33107.3,CR-01101
HL-001102,2026-06-12,Felixstowe,DHL,112.48,5,3320.75,CR-01102
HL-001103,2026-02-23,Rotterdam,DHL,208.93,16,33067.55,CR-01103
HL-001104,2026-02-03,Rotterdam,UPS,113.86,3,2204.84,CR-01104
HL-001105,2026-02-04,Piraeus,DHL,120.42,16,28037.07,
HL-001106,2026-06-21,Rotterdam,DHL,19.39,7,23234.5,CR-01106
HL-001107,2026-05-31,Rotterdam,UPS,213.13,14,29148.95,CR-01107
HL-001108,2026-05-05,Felixstowe,UPS,78.91,18,33594.66,CR-01108
HL-001109,2026-05-29,Rotterdam,DHL,76.26,5,27774.8,CR-01109
HL-001110,2026-05-29,Gdansk,FedEx,232.91,17,15720.64,CR-01110
HL-001111,2026-01-01,Rotterdam,FedEx,191.27,8,45821.06,CR-01111
HL-001112,2026-05-01,Felixstowe,Maersk,245.3,25,503.81,CR-01112
HL-001113,2026-04-19,Felixstowe,DHL,369.49,19,23631.38,CR-01113
HL-001114,2026-06-02,Felixstowe,DHL,368.42,14,38926.34,CR-01114
HL-001115,2026-04-11,Rotterdam,DHL,3.13,14,15998.62,
HL-001116,2026-02-18,Felixstowe,DHL,41.44,15,17381.19,CR-01116
HL-001117,2026-04-30,Gdansk,UPS,233.52,8,28485.88,CR-01117
HL-001118,2026-01-03,Rotterdam,FedEx,58.74,8,13030.29,CR-01118
HL-001119,2026-06-13,Gdansk,UPS,238.01,3,8893.5,CR-01119
HL-001120,2026-04-17,Rotterdam,FedEx,187.62,6,41574,
HL-001121,2026-05-02,Gdansk,DHL,25.13,12,27002.34,CR-01121
HL-001122,2026-04-13,Rotterdam,DHL,216.85,17,30067.41,CR-01122
HL-001123,2026-05-16,Rotterdam,UPS,289.86,19,7925.07,CR-01123
HL-001124,2026-04-29,Rotterdam,FedEx,195.91,23,14243.66,
HL-001125,2026-03-06,Felixstowe,UPS,178.73,22,18774.98,CR-01125
HL-001126,2026-02-15,Algeciras,UPS,181.81,9,15609.79,CR-01126
HL-001127,2026-05-26,Rotterdam,DHL,160.76,5,9763.19,CR-01127
HL-001128,2026-04-14,Felixstowe,DHL,173.48,4,5869.93,CR-01128
HL-001129,2026-05-19,Rotterdam,Maersk,250.36,9,25267.7,CR-01129
HL-001130,2026-06-30,Rotterdam,Maersk,174.68,2,30317.92,CR-01130
HL-001131,2026-06-19,Algeciras,DHL,236.24,17,37110.41,CR-01131
HL-001132,2026-05-21,Piraeus,FedEx,115.77,5,40451.41,CR-01132
HL-001133,2026-06-03,Rotterdam,Maersk,109.37,13,40627.47,CR-01133
HL-001134,2026-06-12,Gdansk,UPS,251.95,6,17427.12,CR-01134
HL-001135,2026-06-28,Felixstowe,FedEx,60.96,7,30827.05,CR-01135
HL-001136,2026-03-14,Rotterdam,UPS,141.63,2,36628.29,CR-01136
HL-001137,2026-03-07,Rotterdam,UPS,249.57,20,30221.67,CR-01137
HL-001138,2026-01-31,Piraeus,DHL,49.38,23,29796.54,CR-01138
HL-001139,2026-02-06,Gdansk,FedEx,334.52,17,811.05,
HL-001140,2026-01-18,Piraeus,FedEx,58.19,9,44355.52,CR-01140
HL-001141,2026-04-25,Piraeus,Maersk,191.26,22,18727.64,CR-01141
HL-001142,2026-03-05,Gdansk,UPS,78.92,17,5969.98,CR-01142
HL-001143,2026-02-03,Piraeus,Maersk,314.55,15,28572.73,CR-01143
HL-001144,2026-01-08,Felixstowe,Maersk,49.11,20,29806.67,CR-01144
HL-001145,2026-02-09,Felixstowe,DHL,330.76,7,12333.95,CR-01145
HL-001146,2026-03-16,Felixstowe,UPS,325.09,13,32607.98,CR-01146
HL-001147,2026-04-08,Piraeus,DHL,224.08,13,2842.69,CR-01147
HL-001148,2026-01-01,Algeciras,FedEx,50.69,7,35241.1,CR-01148
HL-001149,2026-01-07,Felixstowe,DHL,21.35,18,42505.97,
HL-001150,2026-04-02,Algeciras,DHL,340.11,23,29507.76,CR-01150
HL-001151,2026-04-14,Gdansk,DHL,143.77,21,39388.94,CR-01151
HL-001152,2026-03-19,Rotterdam,DHL,143.24,20,43524.12,CR-01152
HL-001153,2026-04-14,Rotterdam,UPS,258.71,17,18863.03,CR-01153
HL-001154,2026-06-28,Felixstowe,FedEx,219.56,2,39604.08,CR-01154
HL-001155,2026-04-20,Gdansk,FedEx,231.42,5,21994.15,CR-01155
HL-001156,2026-02-13,Felixstowe,DHL,112.04,4,24563.55,CR-01156
HL-001157,2026-03-12,Piraeus,UPS,344.28,21,150.72,CR-01157
HL-001158,2026-01-05,Rotterdam,UPS,273.78,21,43336.2,CR-01158
HL-001159,2026-04-10,Piraeus,UPS,175.84,5,7399.14,CR-01159
HL-001160,2026-02-27,Felixstowe,DHL,254.76,4,35066.71,CR-01160
HL-001161,2026-05-20,Rotterdam,DHL,179.97,19,27714.23,CR-01161
HL-001162,2026-02-24,Algeciras,DHL,117.17,1,17310.18,CR-01162
HL-001163,2026-06-23,Gdansk,UPS,87.54,12,37580.6,CR-01163
HL-001164,2026-02-19,Gdansk,DHL,366.56,2,12676.84,CR-01164
HL-001165,2026-06-22,Gdansk,UPS,178.95,13,21991.25,CR-01165
HL-001166,2026-05-05,Rotterdam,FedEx,192.19,14,15476.74,CR-01166
HL-001167,2026-06-23,Gdansk,UPS,303.52,9,39051.54,CR-01167
HL-001168,2026-05-07,Felixstowe,Maersk,301.3,14,3535.09,CR-01168
HL-001169,2026-04-30,Rotterdam,DHL,264.72,3,39868.51,CR-01169
HL-001170,2026-02-12,Rotterdam,FedEx,271.16,24,33221.28,
HL-001171,2026-04-01,Algeciras,FedEx,69.42,20,5505.15,CR-01171
HL-001172,2026-05-05,Rotterdam,DHL,170.92,15,26055.15,CR-01172
HL-001173,2026-05-14,Gdansk,FedEx,205.41,10,1982.01,CR-01173
HL-001174,2026-03-26,Rotterdam,DHL,30.13,14,14984.41,CR-01174
HL-001175,2026-04-05,Felixstowe,DHL,352.43,17,10488.85,CR-01175
HL-001176,2026-04-26,Felixstowe,FedEx,24.48,2,17995.68,CR-01176
HL-001177,2026-03-27,Rotterdam,Maersk,96.31,12,30919.34,CR-01177
HL-001178,2026-02-14,Rotterdam,Maersk,127.13,11,25151.81,CR-01178
HL-001179,2026-03-25,Gdansk,UPS,254.41,14,29425.68,CR-01179
HL-001180,2026-02-12,Rotterdam,Maersk,268.78,8,37852.85,CR-01180
HL-001181,2026-03-30,Rotterdam,DHL,190.92,24,18357.28,CR-01181
HL-001182,2026-05-30,Rotterdam,DHL,39.62,19,28488.23,CR-01182
HL-001183,2026-05-27,Rotterdam,UPS,317.5,22,7970.13,CR-01183
HL-001184,2026-03-15,Felixstowe,UPS,341.18,13,129.95,CR-01184
HL-001185,2026-05-14,Rotterdam,Maersk,343.01,17,12723.41,CR-01185
HL-001186,2026-01-29,Felixstowe,DHL,234.51,3,24412.97,CR-01186
HL-001187,2026-01-22,Gdansk,FedEx,329.32,6,10923.37,CR-01187
HL-001188,2026-01-05,Algeciras,Maersk,91.32,24,20884.54,CR-01188
HL-001189,2026-04-24,Rotterdam,Maersk,357.93,21,5889.26,CR-01189
HL-001190,2026-02-23,Felixstowe,UPS,357.3,9,4920.51,CR-01190
HL-001191,2026-05-05,Felixstowe,DHL,23.33,21,36611.04,CR-01191
HL-001192,2026-03-06,Felixstowe,DHL,134.96,25,22380.59,CR-01192
HL-001193,2026-05-12,Algeciras,DHL,108.61,25,13579.78,CR-01193
HL-001194,2026-05-09,Felixstowe,UPS,228.11,12,39754.19,CR-01194
HL-001195,2026-05-08,Piraeus,DHL,323.07,16,20749.12,CR-01195
HL-001196,2026-01-27,Algeciras,UPS,26.25,21,9521.35,CR-01196
HL-001197,2026-03-12,Rotterdam,DHL,70.89,22,46864.09,
HL-001198,2026-01-18,Algeciras,UPS,92.2,10,10724.64,CR-01198
HL-001199,2026-05-27,Rotterdam,DHL,322.69,3,44839.75,CR-01199
HL-001200,2026-05-13,Piraeus,DHL,49.39,17,26236.27,CR-01200
HL-001201,2026-04-28,Rotterdam,DHL,179.71,11,16300.91,CR-01201
HL-001202,2026-03-28,Felixstowe,UPS,96.5,16,45625.02,CR-01202
HL-001203,2026-04-27,Rotterdam,UPS,1.11,21,27441.43,CR-01203
HL-001204,2026-02-05,Gdansk,Maersk,165.95,10,30966.82,CR-01204
HL-001205,2026-03-08,Rotterdam,DHL,271.4,15,25853.32,CR-01205
HL-001206,2026-06-18,Rotterdam,UPS,33.98,4,15631.25,CR-01206
HL-001207,2026-06-12,Rotterdam,Maersk,91.1,7,22025.79,CR-01207
HL-001208,2026-01-10,Piraeus,DHL,366.71,21,26355.76,CR-01208
HL-001209,2026-02-09,Algeciras,DHL,252.04,6,32373.56,CR-01209
HL-001210,2026-01-19,Felixstowe,Maersk,58.08,8,35177.72,CR-01210
HL-001211,2026-02-05,Piraeus,DHL,367.02,16,17909.66,CR-01211
HL-001212,2026-03-08,Gdansk,UPS,227.7,7,8858.79,
HL-001213,2026-03-18,Felixstowe,Maersk,316.93,13,41599.81,CR-01213
HL-001214,2026-01-02,Felixstowe,FedEx,376.15,4,2359.38,CR-01214
HL-001215,2026-04-19,Felixstowe,DHL,330.03,25,41943.14,CR-01215
HL-001216,2026-02-13,Felixstowe,DHL,97.59,11,29305.11,CR-01216
HL-001217,2026-04-13,Rotterdam,UPS,302.89,14,585.24,CR-01217
HL-001218,2026-01-07,Rotterdam,DHL,250.16,2,32200.75,CR-01218
HL-001219,2026-04-15,Algeciras,UPS,372.2,20,40674.54,CR-01219
HL-001220,2026-01-27,Rotterdam,FedEx,287.06,23,36748.6,CR-01220
HL-001221,2026-06-05,Gdansk,Maersk,81.23,23,28945.67,CR-01221
HL-001222,2026-02-17,Gdansk,UPS,121.77,13,24807.63,CR-01222
HL-001223,2026-03-07,Gdansk,DHL,163.09,15,45670.58,CR-01223
HL-001224,2026-03-06,Rotterdam,Maersk,74.82,20,1521.65,CR-01224
HL-001225,2026-01-21,Felixstowe,DHL,329.66,14,1314.53,CR-01225
HL-001226,2026-02-02,Gdansk,FedEx,194.35,8,24794.51,CR-01226
HL-001227,2026-04-11,Rotterdam,FedEx,140.39,4,11893.27,
HL-001228,2026-03-10,Gdansk,FedEx,184.58,14,34935.36,CR-01228
HL-001229,2026-03-11,Gdansk,DHL,153.39,24,3566.86,CR-01229
HL-001230,2026-05-25,Rotterdam,DHL,307.76,18,10868.31,CR-01230
HL-001231,2026-04-13,Felixstowe,DHL,347.38,14,11858.12,CR-01231
HL-001232,2026-01-17,Rotterdam,UPS,368.74,8,3961.74,CR-01232
HL-001233,2026-03-29,Felixstowe,DHL,231.55,12,39684.15,CR-01233
HL-001234,2026-05-02,Rotterdam,DHL,170.37,10,29291.42,CR-01234
HL-001235,2026-01-31,Felixstowe,Maersk,346.54,17,39853.88,CR-01235
HL-001236,2026-03-29,Felixstowe,UPS,310.8,13,6480.67,CR-01236
HL-001237,2026-06-20,Felixstowe,DHL,254.12,18,30257.88,CR-01237
HL-001238,2026-03-31,Gdansk,DHL,151.41,18,38575.31,CR-01238
HL-001239,2026-04-27,Felixstowe,FedEx,274.75,6,21609.93,CR-01239
HL-001240,2026-01-23,Felixstowe,DHL,232.73,1,7444.93,CR-01240
HL-001241,2026-03-11,Algeciras,DHL,201.76,6,16088.5,CR-01241
HL-001242,2026-02-04,Algeciras,DHL,235.46,12,42416.47,CR-01242
HL-001243,2026-06-15,Rotterdam,FedEx,195.38,22,18227.33,CR-01243
HL-001244,2026-03-11,Rotterdam,FedEx,133.91,4,3473.84,CR-01244
HL-001245,2026-06-29,Piraeus,FedEx,225.56,9,18969.04,CR-01245
HL-001246,2026-06-10,Gdansk,DHL,136.1,25,6554.79,CR-01246
HL-001247,2026-06-10,Felixstowe,DHL,10.67,21,36513.14,CR-01247
HL-001248,2026-05-11,Rotterdam,DHL,371.05,6,18268.98,CR-01248
HL-001249,2026-06-27,Rotterdam,FedEx,363.05,12,2310.64,CR-01249
HL-001250,2026-06-09,Rotterdam,DHL,19.34,2,32648.21,CR-01250
HL-001251,2026-06-22,Felixstowe,DHL,150.55,11,31317.59,CR-01251
HL-001252,2026-05-08,Algeciras,UPS,184.85,6,22345.9,CR-01252
HL-001253,2026-01-23,Felixstowe,Maersk,303.08,23,31141.98,CR-01253
HL-001254,2026-03-01,Felixstowe,DHL,263.01,5,13332.38,
HL-001255,2026-05-05,Algeciras,UPS,282.53,2,35533.44,CR-01255
HL-001256,2026-01-10,Felixstowe,DHL,75.98,21,13293.68,CR-01256
HL-001257,2026-05-01,Felixstowe,DHL,72.94,11,37686.13,CR-01257
HL-001258,2026-02-02,Rotterdam,FedEx,356.1,17,14764.83,CR-01258
HL-001259,2026-04-18,Rotterdam,DHL,104.04,20,42927.71,CR-01259
HL-001260,2026-06-24,Rotterdam,DHL,169.04,3,40100.84,CR-01260
HL-001261,2026-01-11,Gdansk,UPS,338.7,2,5638.09,CR-01261
HL-001262,2026-04-01,Piraeus,DHL,335.27,13,9274.85,CR-01262
