Delivery no.,Supplier name,Carrier name,Pallets received,Gross weight (kg),Slot date,Dock,Load status,Booking contact email
AG-0206,Nethercote Coatings PLC,Delwyn Logistics,17,8965,2026-10-28,Dock 3,Booked,bookings@nethercotecoatin.example
AG-0207,Orrell Insulation Group,Marden Freight,3,8641.15,2027-02-28,Dock 1,Arrived,bookings@orrellinsulation.example
AG-0208,Pelsham Adhesives Works,Copsey Transport,8,1627.34,2026-12-15,Dock 2,Booked,bookings@pelshamadhesives.example
AG-0209,Quarnby Seals LLP,Marden Freight,15,8713.24,2027-01-13,Dock 2,Arrived,bookings@quarnbysealsllp.example
AG-0210,Redmoss Timber Supplies,Delwyn Logistics,28,4351.75,2027-02-24,Dock 3,Booked,bookings@redmosstimbersup.example
AG-0211,Skelbrook Textiles Ltd,Copsey Transport,25,12406.16,2026-10-21,Dock 3,Booked,bookings@skelbrooktextile.example
AG-0212,Thurlow Glassworks PLC,Copsey Transport,21,12457.13,2026-11-22,Dock 1,Booked,bookings@thurlowglasswork.example
AG-0213,Uldale Abrasives Group,Ravenhill Haulage,19,4374.83,2026-10-16,Dock 1,Booked,bookings@uldaleabrasivesg.example
AG-0214,Vernham Bearings Works,Marden Freight,24,6004.54,2026-12-16,Dock 2,Booked,bookings@vernhambearingsw.example
AG-0215,Westhorpe Fasteners LLP,Copsey Transport,20,20709.4,2027-01-24,Dock 2,Arrived,bookings@westhorpefastene.example
AG-0216,Yarborne Castings Supplies,Copsey Transport,26,13726.4,2026-10-23,Dock 1,Unloaded,bookings@yarbornecastings.example
AG-0217,Tarnwick Packaging Ltd,Copsey Transport,22,19777.86,2026-11-16,Dock 1,Arrived,bookings@tarnwickpackagin.example
AG-0218,Beckhurst Coatings PLC,Delwyn Logistics,26,4780.79,2026-09-28,Dock 2,Booked,bookings@beckhurstcoating.example
AG-0219,Colwyn Insulation Group,Delwyn Logistics,31,12000.24,2026-11-19,Dock 3,Arrived,bookings@colwyninsulation.example
AG-0220,Drayfold Adhesives Works,Marden Freight,27,18641.08,2027-02-15,Dock 2,Booked,bookings@drayfoldadhesive.example
AG-0221,Elverton Seals LLP,Marden Freight,4,19241.65,2026-10-27,Dock 3,Booked,bookings@elvertonsealsllp.example
AG-0222,Fossgate Timber Supplies,Marden Freight,15,8056.29,2027-02-27,Dock 1,Booked,bookings@fossgatetimbersu.example
AG-0223,Grindale Textiles Ltd,Delwyn Logistics,4,21488.15,2026-10-24,Dock 1,Booked,bookings@grindaletextiles.example
AG-0224,Halverne Glassworks PLC,Ravenhill Haulage,22,11078.67,2027-02-27,Dock 2,Booked,bookings@halverneglasswor.example
AG-0225,Inglebrook Abrasives Group,Marden Freight,19,5203.26,2027-01-26,Dock 2,Unloaded,bookings@inglebrookabrasi.example
AG-0226,Jarrowmere Bearings Works,Copsey Transport,2,1009.43,2026-10-16,Dock 1,Booked,bookings@jarrowmerebearin.example
AG-0227,Kelsall Fasteners LLP,Copsey Transport,9,21168.85,2026-11-22,Dock 2,Booked,bookings@kelsallfasteners.example
AG-0228,Lindholme Castings Supplies,Copsey Transport,16,846.39,2027-01-19,Dock 2,Booked,bookings@lindholmecasting.example
AG-0229,Marfield Packaging Ltd,Ravenhill Haulage,20,13872.86,2026-09-27,Dock 2,Booked,bookings@marfieldpackagin.example
AG-0230,Nethercote Coatings PLC,Delwyn Logistics,9,13395.22,2027-01-17,Dock 1,Booked,bookings@nethercotecoatin.example
AG-0231,Orrell Insulation Group,Ravenhill Haulage,9,10117.66,2027-02-13,Dock 2,Unloaded,bookings@orrellinsulation.example
AG-0232,Pelsham Adhesives Works,Delwyn Logistics,6,10008.99,2027-01-14,Dock 3,Unloaded,bookings@pelshamadhesives.example
AG-0233,Quarnby Seals LLP,Marden Freight,8,5637.01,2026-09-13,Dock 3,Booked,bookings@quarnbysealsllp.example
AG-0234,Redmoss Timber Supplies,Ravenhill Haulage,15,2849.38,2027-01-21,Dock 1,Unloaded,bookings@redmosstimbersup.example
AG-0235,Skelbrook Textiles Ltd,Marden Freight,30,18100.66,2026-11-18,Dock 2,Unloaded,bookings@skelbrooktextile.example
AG-0236,Thurlow Glassworks PLC,Ravenhill Haulage,16,21149.67,2027-01-15,Dock 3,Arrived,bookings@thurlowglasswork.example
AG-0237,Uldale Abrasives Group,Ravenhill Haulage,19,11811.89,2027-02-23,Dock 3,Booked,bookings@uldaleabrasivesg.example
AG-0238,Vernham Bearings Works,Copsey Transport,21,11842.95,2026-11-14,Dock 1,Unloaded,bookings@vernhambearingsw.example
AG-0239,Westhorpe Fasteners LLP,Copsey Transport,25,13887.16,2027-02-15,Dock 3,Booked,bookings@westhorpefastene.example
AG-0240,Yarborne Castings Supplies,Marden Freight,11,9288.6,2026-12-23,Dock 2,Booked,bookings@yarbornecastings.example
AG-0241,Tarnwick Packaging Ltd,Copsey Transport,20,17844.39,2026-11-21,Dock 1,Unloaded,bookings@tarnwickpackagin.example
AG-0242,Beckhurst Coatings PLC,Marden Freight,29,4215.86,2026-11-20,Dock 2,Unloaded,bookings@beckhurstcoating.example
AG-0243,Colwyn Insulation Group,Copsey Transport,7,20421.8,2027-02-17,Dock 2,Arrived,bookings@colwyninsulation.example
AG-0244,Drayfold Adhesives Works,Copsey Transport,21,4014.66,2027-01-25,Dock 3,Booked,bookings@drayfoldadhesive.example
AG-0245,Elverton Seals LLP,Ravenhill Haulage,20,11605.04,2026-10-22,Dock 1,Unloaded,bookings@elvertonsealsllp.example
AG-0246,Fossgate Timber Supplies,Delwyn Logistics,9,17765.84,2026-11-28,Dock 3,Unloaded,bookings@fossgatetimbersu.example
AG-0247,Grindale Textiles Ltd,Ravenhill Haulage,31,13770.6,2027-02-28,Dock 2,Booked,bookings@grindaletextiles.example
AG-0248,Halverne Glassworks PLC,Copsey Transport,1,11983.99,2026-10-18,Dock 2,Booked,bookings@halverneglasswor.example
AG-0249,Inglebrook Abrasives Group,Marden Freight,32,7501.96,2027-01-19,Dock 1,Arrived,bookings@inglebrookabrasi.example
AG-0250,Jarrowmere Bearings Works,Marden Freight,24,9873.75,2026-09-15,Dock 3,Unloaded,bookings@jarrowmerebearin.example
AG-0251,Kelsall Fasteners LLP,Delwyn Logistics,30,18861.24,2027-02-19,Dock 3,Arrived,bookings@kelsallfasteners.example
AG-0252,Lindholme Castings Supplies,Copsey Transport,15,2443.27,2027-02-15,Dock 3,Arrived,bookings@lindholmecasting.example
AG-0253,Marfield Packaging Ltd,Ravenhill Haulage,24,7340.3,2026-09-26,Dock 1,Booked,bookings@marfieldpackagin.example
AG-0254,Nethercote Coatings PLC,Delwyn Logistics,12,19028.63,2026-09-23,Dock 1,Booked,bookings@nethercotecoatin.example
AG-0255,Orrell Insulation Group,Delwyn Logistics,1,9596.23,2026-09-18,Dock 3,Unloaded,bookings@orrellinsulation.example
AG-0256,Pelsham Adhesives Works,Ravenhill Haulage,15,9451.16,2027-01-27,Dock 3,Unloaded,bookings@pelshamadhesives.example
AG-0257,Quarnby Seals LLP,Marden Freight,6,8565.93,2026-10-17,Dock 1,Arrived,bookings@quarnbysealsllp.example
AG-0258,Redmoss Timber Supplies,Delwyn Logistics,8,12427.62,2027-01-17,Dock 3,Booked,bookings@redmosstimbersup.example
AG-0259,Skelbrook Textiles Ltd,Ravenhill Haulage,3,2416.83,2027-02-25,Dock 2,Booked,bookings@skelbrooktextile.example
AG-0260,Thurlow Glassworks PLC,Copsey Transport,16,5116.18,2027-01-24,Dock 2,Booked,bookings@thurlowglasswork.example
AG-0261,Uldale Abrasives Group,Ravenhill Haulage,19,8298.76,2026-11-15,Dock 2,Booked,bookings@uldaleabrasivesg.example
AG-0262,Vernham Bearings Works,Copsey Transport,7,14960.45,2027-02-26,Dock 1,Booked,bookings@vernhambearingsw.example
AG-0263,Westhorpe Fasteners LLP,Delwyn Logistics,6,13829.42,2026-09-13,Dock 1,Arrived,bookings@westhorpefastene.example
AG-0264,Yarborne Castings Supplies,Copsey Transport,22,6962.76,2027-01-25,Dock 2,Unloaded,bookings@yarbornecastings.example
AG-0265,Tarnwick Packaging Ltd,Ravenhill Haulage,6,6692.84,2027-01-15,Dock 1,Booked,bookings@tarnwickpackagin.example
AG-0266,Beckhurst Coatings PLC,Ravenhill Haulage,16,19533.79,2026-09-28,Dock 3,Booked,bookings@beckhurstcoating.example
AG-0267,Colwyn Insulation Group,Copsey Transport,1,17914.98,2026-12-20,Dock 1,Booked,bookings@colwyninsulation.example
AG-0268,Drayfold Adhesives Works,Delwyn Logistics,9,15497.57,2026-12-14,Dock 2,Arrived,bookings@drayfoldadhesive.example
AG-0269,Elverton Seals LLP,Marden Freight,5,7396.09,2027-01-17,Dock 1,Arrived,bookings@elvertonsealsllp.example
AG-0270,Fossgate Timber Supplies,Ravenhill Haulage,4,17942.1,2026-12-27,Dock 1,Booked,bookings@fossgatetimbersu.example
AG-0271,Grindale Textiles Ltd,Copsey Transport,18,1488.25,2027-02-26,Dock 3,Unloaded,bookings@grindaletextiles.example
AG-0272,Halverne Glassworks PLC,Delwyn Logistics,27,19166.04,2026-12-18,Dock 1,Booked,bookings@halverneglasswor.example
AG-0273,Inglebrook Abrasives Group,Marden Freight,20,5881.17,2026-11-17,Dock 1,Booked,bookings@inglebrookabrasi.example
AG-0274,Jarrowmere Bearings Works,Delwyn Logistics,2,9008.77,2027-01-26,Dock 2,Booked,bookings@jarrowmerebearin.example
AG-0275,Kelsall Fasteners LLP,Copsey Transport,1,7303.35,2026-11-15,Dock 3,Unloaded,bookings@kelsallfasteners.example
AG-0276,Lindholme Castings Supplies,Ravenhill Haulage,17,15718.35,2026-11-20,Dock 1,Booked,bookings@lindholmecasting.example
AG-0277,Marfield Packaging Ltd,Copsey Transport,15,2241.61,2027-01-13,Dock 2,Booked,bookings@marfieldpackagin.example
AG-0278,Nethercote Coatings PLC,Copsey Transport,21,19028.15,2027-02-15,Dock 3,Booked,bookings@nethercotecoatin.example
AG-0279,Orrell Insulation Group,Ravenhill Haulage,23,10944.56,2026-12-20,Dock 2,Arrived,bookings@orrellinsulation.example
AG-0280,Pelsham Adhesives Works,Marden Freight,5,10460.29,2027-01-26,Dock 1,Booked,bookings@pelshamadhesives.example
