Site,Date sampled,Det.,Result,Method,Lab ref
LUG-207,24 Mar 2026,DO,12.9,Probe,
ARR-301,24 Mar 2026,NO3-N,4.08,Ion chromatography,L-10361
ARR-301,24 Mar 2026,PO4-P,0.162,Colorimetric,L-10363
ARR-301,24 Mar 2026,NH4-N,0.21,Colorimetric,L-10371
ARR-305,24 Mar 2026,PO4-P,0.328,Colorimetric,L-10380
ARR-305,24 Mar 2026,NH4-N,0.93,Colorimetric,L-10385
ARR-305,24 Mar 2026,DO,9.7,Probe,
DEE-402,24 Mar 2026,NO3-N,11.71,Ion chromatography,L-10386
DEE-402,24 Mar 2026,NH4-N,0.08,Colorimetric,L-10388
DEE-402,24 Mar 2026,DO,12.5,Probe,
DEE-407,24 Mar 2026,NO3-N,8.18,Ion chromatography,L-10397
DEE-407,24 Mar 2026,NH4-N,0.13,Colorimetric,L-10405
TAF-511,24 Mar 2026,NO3-N,5.84,Ion chromatography,L-10409
TAF-511,24 Mar 2026,PO4-P,0.038,Colorimetric,L-10418
TAF-511,24 Mar 2026,DO,9.7,Probe,
WYE-114,25 Mar 2026,NO3-N,1.30,Ion chromatography,L-10427
WYE-114,25 Mar 2026,DO,9.5,Probe,
WYE-118,25 Mar 2026,NO3-N,0.63,Ion chromatography,L-10432
WYE-118,25 Mar 2026,DO,12.7,Probe,
WYE-121,25 Mar 2026,PO4-P,0.413,Colorimetric,L-10435
WYE-121,25 Mar 2026,NH4-N,1.47,Colorimetric,L-10440
WYE-126,25 Mar 2026,NO3-N,7.39,Ion chromatography,L-10448
WYE-126,25 Mar 2026,PO4-P,0.052,Colorimetric,L-10453
LUG-203,25 Mar 2026,NH4-N,0.43,Colorimetric,L-10456
LUG-203,25 Mar 2026,DO,7.3,Probe,
ARR-301,25 Mar 2026,NO3-N,8.81,Ion chromatography,L-10458
ARR-301,25 Mar 2026,PO4-P,0.385,Colorimetric,L-10465
ARR-305,25 Mar 2026,NH4-N,1.10,Colorimetric,L-10467
ARR-305,25 Mar 2026,DO,8.2,Probe,
DEE-402,25 Mar 2026,PO4-P,0.153,Colorimetric,L-10474
DEE-402,25 Mar 2026,NH4-N,1.05,Colorimetric,L-10480
DEE-407,25 Mar 2026,NO3-N,0.85,Ion chromatography,L-10484
DEE-407,25 Mar 2026,PO4-P,0.416,Colorimetric,L-10485
DEE-407,25 Mar 2026,NH4-N,0.59,Colorimetric,L-10492
DEE-407,25 Mar 2026,DO,10.9,Probe,
TAF-511,25 Mar 2026,PO4-P,0.438,Colorimetric,L-10494
TAF-511,25 Mar 2026,DO,10.7,Probe,
WYE-114,26 Mar 2026,NO3-N,3.65,Ion chromatography,L-10500
WYE-114,26 Mar 2026,NH4-N,0.68,Colorimetric,L-10507
WYE-118,26 Mar 2026,NO3-N,5.35,Ion chromatography,L-10514
WYE-118,26 Mar 2026,NH4-N,1.08,Colorimetric,L-10515
WYE-118,26 Mar 2026,DO,6.7,Probe,
WYE-126,26 Mar 2026,PO4-P,0.083,Colorimetric,L-10521
WYE-126,26 Mar 2026,DO,10.0,Probe,
LUG-203,26 Mar 2026,NO3-N,7.09,Ion chromatography,L-10523
LUG-203,26 Mar 2026,PO4-P,0.195,Colorimetric,L-10527
LUG-207,26 Mar 2026,PO4-P,0.216,Colorimetric,L-10534
LUG-212,26 Mar 2026,NO3-N,0.45,Ion chromatography,L-10535
LUG-212,26 Mar 2026,NH4-N,0.98,Colorimetric,L-10544
LUG-212,26 Mar 2026,DO,9.3,Probe,
ARR-301,26 Mar 2026,PO4-P,0.141,Colorimetric,L-10546
ARR-301,26 Mar 2026,NH4-N,0.32,Colorimetric,L-10552
ARR-305,26 Mar 2026,NO3-N,3.85,Ion chromatography,L-10558
ARR-305,26 Mar 2026,PO4-P,0.309,Colorimetric,L-10560
ARR-305,26 Mar 2026,DO,8.2,Probe,
DEE-402,26 Mar 2026,NO3-N,11.40,Ion chromatography,L-10568
DEE-402,26 Mar 2026,PO4-P,0.387,Colorimetric,L-10575
DEE-402,26 Mar 2026,NH4-N,0.93,Colorimetric,L-10578
TAF-511,26 Mar 2026,NO3-N,8.23,Ion chromatography,L-10584
TAF-511,26 Mar 2026,PO4-P,0.361,Colorimetric,L-10585
TAF-511,26 Mar 2026,DO,7.4,Probe,
WYE-118,29 Mar 2026,NH4-N,0.85,Colorimetric,L-10586
WYE-121,29 Mar 2026,NH4-N,0.96,Colorimetric,L-10590
WYE-121,29 Mar 2026,DO,8.7,Probe,
WYE-126,29 Mar 2026,NO3-N,2.73,Ion chromatography,L-10594
WYE-126,29 Mar 2026,DO,7.7,Probe,
LUG-203,29 Mar 2026,PO4-P,0.199,Colorimetric,L-10598
LUG-203,29 Mar 2026,DO,12.1,Probe,
LUG-207,29 Mar 2026,NH4-N,0.73,Colorimetric,L-10603
LUG-212,29 Mar 2026,NO3-N,8.50,Ion chromatography,L-10605
LUG-212,29 Mar 2026,PO4-P,0.049,Colorimetric,L-10607
LUG-212,29 Mar 2026,NH4-N,1.07,Colorimetric,L-10612
ARR-301,29 Mar 2026,PO4-P,0.302,Colorimetric,L-10616
ARR-305,29 Mar 2026,NO3-N,6.68,Ion chromatography,L-10623
ARR-305,29 Mar 2026,DO,6.2,Probe,
DEE-402,29 Mar 2026,NO3-N,8.88,Ion chromatography,L-10626
DEE-402,29 Mar 2026,NH4-N,0.11,Colorimetric,L-10630
DEE-407,29 Mar 2026,NH4-N,0.65,Colorimetric,L-10636
TAF-511,29 Mar 2026,PO4-P,0.400,Colorimetric,L-10643
TAF-511,29 Mar 2026,NH4-N,0.69,Colorimetric,L-10652
TAF-511,29 Mar 2026,DO,11.2,Probe,
LUG-207,29 Mar 2026,NO3-N,4.02,Ion chromatography,L-9310
