Date,Transaction Type,No.,Memo/Description,Account No.,Account,Debit,Credit,Created By,Created
,,,Progress billing 4469,4010,Revenue:Product,,"13,736.49",,
,,,Progress billing 4469,2100,Sales tax payable,,"2,747.30",,
02/22/2025,Bill Payment (Check),1079,Payment to supplier 4360,2010,Accounts payable,"3,822.11",,d.okonkwo,02/22/2025 1:17:45 AM
,,,Payment to supplier 4360,1010,Cash and cash equivalents:Operating account,,"3,822.11",,
02/24/2025,Credit Memo,1100,Credit note 4399,4090,Sales discounts,"1,089.53",,a.varga,02/24/2025 4:13:45 AM
,,,Credit note 4399,1200,Accounts receivable,,"1,089.53",,
02/24/2025,Payment,1136,Customer payment 4475,1010,Cash and cash equivalents:Operating account,"18,556.12",,a.varga,02/24/2025 3:14:54 AM
,,,Customer payment 4475,1200,Accounts receivable,,"18,556.12",,
02/25/2025,Bill,1085,Reimbursement 4375,06110,Utilities,"9,636.14",,d.okonkwo,02/25/2025 4:58:55 AM
,,,Reimbursement 4375,2010,Accounts payable,,"9,636.14",,
02/25/2025,Bill,1103,Reimbursement 4406,6110,Utilities,"4,757.24",,s.pettersen,02/25/2025 1:08:06 PM
,,,Reimbursement 4406,2010,Accounts payable,,"4,757.24",,
02/25/2025,Invoice,1127,Retainer 4458,1200,Accounts receivable,"2,170.20",,d.okonkwo,02/25/2025 2:11:14 AM
,,,Retainer 4458,4020,Revenue:Services,,"1,808.50",,
,,,Retainer 4458,2100,Sales tax payable,,361.70,,
02/26/2025,Journal Entry,1089,Payroll journal,6010,Salaries and wages,"38,025.51",,s.pettersen,02/26/2025 4:21:00 PM
,,,Payroll journal,6020,Employee benefits,"3,422.30",,,
,,,Payroll journal,2150,Payroll liabilities:Withholding,,"9,126.12",,
,,,Payroll journal,2160,Payroll liabilities:Pension,,"1,901.28",,
,,,Payroll journal,01020,Cash and cash equivalents:Payroll account,,"30,420.41",,
02/26/2025,Invoice,1118,Licence renewal 4440,1200,Accounts receivable,"18,754.46",,d.okonkwo,02/26/2025 11:26:23 AM
,,,Licence renewal 4440,4010,Revenue:Product,,"15,628.72",,
,,,Licence renewal 4440,2100,Sales tax payable,,"3,125.74",,
02/26/2025,Bill,1128,Reimbursement 4459,6250,Software subscriptions,"8,784.99",,s.pettersen,02/26/2025 4:08:25 PM
,,,Reimbursement 4459,2010,Accounts payable,,"8,784.99",,
02/28/2025,Bill,1076,Reimbursement 4352,6420,Travel and entertainment:Conferences,"10,934.19",,d.okonkwo,02/28/2025 12:38:28 AM
,,,Reimbursement 4352,2010,Accounts payable,,"10,934.19",,
,,,Total for February 2025,,,"417,964.48","417,964.48",,
03/01/2025,Deposit,1140,Bank deposit 4481,1010,Cash and cash equivalents:Operating account,"3,045.52",,d.okonkwo,03/01/2025 8:10:54 PM
,,,Bank deposit 4481,2400,Deferred revenue,,"3,045.52",,
03/01/2025,Bill Payment (Check),1141,Payment to supplier 4483,2010,Accounts payable,"13,496.09",,System Administrator,03/01/2025 7:45:16 AM
,,,Payment to supplier 4483,1010,Cash and cash equivalents:Operating account,,"13,496.09",,
03/03/2025,Journal Entry,1164,Accrual reversal,2050,Accrued liabilities,"1,896.41",,a.varga,03/03/2025 8:00:15 AM
,,,Accrual reversal,5010,Cost of sales:Materials,,"1,896.41",,
03/03/2025,Journal Entry,1169,Depreciation for the period,6600,Depreciation,"3,822.85-",,s.pettersen,03/03/2025 3:55:51 AM
,,,Depreciation for the period,1790,Accumulated depreciation,,"3,822.85-",,
03/04/2025,Expense,1142,Reimbursement 4485,5010,Cost of sales:Materials,"1,917.24",,System Administrator,03/04/2025 1:10:08 PM
,,,Reimbursement 4485,1010,Cash and cash equivalents:Operating account,,"1,917.24",,
03/05/2025,Credit Memo,1151,Credit note 4498,4090,Sales discounts,"1,889.39-",,d.okonkwo,03/05/2025 9:05:21 PM
,,,Credit note 4498,1200,Accounts receivable,,"1,889.39-",,
03/06/2025,Deposit,1182,Bank deposit 4558,1010,Cash and cash equivalents:Operating account,"3,410.11",,d.okonkwo,03/06/2025 1:21:12 AM
,,,Bank deposit 4558,2400,Deferred revenue,,"3,410.11",,
03/07/2025,Bill Payment (Check),1163,Payment to supplier 4521,2010,Accounts payable,"4,216.08",,System Administrator,03/07/2025 2:57:40 PM
,,,Payment to supplier 4521,1010,Cash and cash equivalents:Operating account,,"4,216.08",,
03/07/2025,Payment,1179,Customer payment 4549,1010,Cash and cash equivalents:Operating account,"16,618.32",,m.laurent,03/07/2025 12:47:04 AM
,,,Customer payment 4549,1200,Accounts receivable,,"16,618.31",,
03/07/2025,Bill,1186,Reimbursement 4564,6500,Bank charges,"10,369.78",,d.okonkwo,03/07/2025 7:13:13 PM
,,,Reimbursement 4564,02010,Accounts payable,,"10,369.78",,
03/08/2025,Sales Receipt,1139,Progress billing 4480,1010,Cash and cash equivalents:Operating account,589.66,,s.pettersen,03/08/2025 4:20:37 PM
,,,Progress billing 4480,4010,Revenue:Product,,491.38,,
,,,Progress billing 4480,2100,Sales tax payable,,98.28,,
03/08/2025,Bill Payment (Check),1191,Payment to supplier 4573,2010,Accounts payable,"8,794.30",,System Administrator,03/08/2025 11:55:23 PM
,,,Payment to supplier 4573,1010,Cash and cash equivalents:Operating account,,"8,794.30",,
03/09/2025,Bill,1172,Monthly service 4537,6100,Rent,"3,641.33",,s.pettersen,03/09/2025 4:39:58 PM
,,,Monthly service 4537,2010,Accounts payable,,"3,641.33",,
03/09/2025,Invoice,1174,Progress billing 4542,1200,Accounts receivable,"3,484.91",,System Administrator,03/09/2025 11:26:33 PM
,,,Progress billing 4542,4020,Revenue:Services,,"2,904.09",,
,,,Progress billing 4542,2100,Sales tax payable,,580.82,,
03/10/2025,Invoice,1137,Invoice 2025-4476,1200,Accounts receivable,"14,102.56",,System Administrator,03/10/2025 12:24:45 AM
,,,Invoice 2025-4476,4020,Revenue:Services,,"11,752.13",,
,,,Invoice 2025-4476,2100,Sales tax payable,,"2,350.43",,
03/11/2025,Invoice,1171,Progress billing 4535,1200,Accounts receivable,"14,090.64",,System Administrator,03/11/2025 9:32:56 AM
,,,Progress billing 4535,4010,Revenue:Product,,"11,742.20",,
,,,Progress billing 4535,2100,Sales tax payable,,"2,348.44",,
03/11/2025,Bill,1175,Monthly service 4543,5020,Cost of sales:Freight,"12,514.67",,m.laurent,03/11/2025 10:48:35 AM
,,,Monthly service 4543,2010,Accounts payable,,"12,514.67",,
03/11/2025,Invoice,1181,Invoice 2025-4555,1200,Accounts receivable,"10,449.19-",,s.pettersen,03/11/2025 2:44:03 PM
,,,Invoice 2025-4555,4020,Revenue:Services,,"8,707.66-",,
,,,Invoice 2025-4555,2100,Sales tax payable,,"1,741.53-",,
03/11/2025,Payment,1185,Customer payment 4562,1010,Cash and cash equivalents:Operating account,"8,113.18",,a.varga,03/11/2025 11:09:25 AM
,,,Customer payment 4562,1200,Accounts receivable,,"8,113.18",,
03/11/2025,Invoice,1190,Invoice 2025-4572,1200,Accounts receivable,"20,863.75",,m.laurent,03/11/2025 3:34:52 PM
,,,Invoice 2025-4572,4010,Revenue:Product,,"17,386.46",,
,,,Invoice 2025-4572,2100,Sales tax payable,,"3,477.29",,
03/12/2025,Invoice,1194,Invoice 2025-4580,1200,Accounts receivable,"4,662.18",,s.pettersen,03/12/2025 9:00:52 AM
,,,Invoice 2025-4580,4010,Revenue:Product,,"3,885.15",,
,,,Invoice 2025-4580,2100,Sales tax payable,,777.03,,
03/13/2025,Payment,1152,Customer payment 4501,1010,Cash and cash equivalents:Operating account,"18,316.52",,a.varga,03/13/2025 10:03:50 PM
,,,Customer payment 4501,1200,Accounts receivable,,"18,316.52",,
03/13/2025,Payment,1156,Customer payment 4509,1010,Cash and cash equivalents:Operating account,"20,121.43",,a.varga,03/13/2025 1:57:17 PM
,,,Customer payment 4509,1200,Accounts receivable,,"20,121.43",,
03/13/2025,Journal Entry,1161,Accrual reversal,2050,Accrued liabilities,"1,269.52",,d.okonkwo,03/13/2025 7:57:23 PM
,,,Accrual reversal,5010,Cost of sales:Materials,,"1,269.52",,
03/14/2025,Invoice,1147,Licence renewal 4491,1200,Accounts receivable,"17,777.90",,s.pettersen,03/14/2025 6:08:54 PM
,,,Licence renewal 4491,4020,Revenue:Services,,"14,814.92",,
,,,Licence renewal 4491,2100,Sales tax payable,,"2,962.98",,
03/14/2025,Bill Payment (Check),1180,Payment to supplier 4552,2010,Accounts payable,"2,430.95",,s.pettersen,03/14/2025 10:25:12 AM
,,,Payment to supplier 4552,1010,Cash and cash equivalents:Operating account,,"2,430.95",,
03/15/2025,Sales Receipt,1148,Retainer 4492,1010,Cash and cash equivalents:Operating account,"1,836.29",,m.laurent,03/15/2025 2:55:06 PM
,,,Retainer 4492,4010,Revenue:Product,,"1,530.24",,
,,,Retainer 4492,2100,Sales tax payable,,306.05,,
03/15/2025,Expense,1153,Purchase order 4502,5020,Cost of sales:Freight,768.84,,System Administrator,03/15/2025 8:45:59 PM
,,,Purchase order 4502,01010,Cash and cash equivalents:Operating account,,768.84,,
03/15/2025,Bill,1155,Reimbursement 4507,6200,Professional fees,"4,218.29",,m.laurent,03/15/2025 8:06:57 AM
,,,Reimbursement 4507,02010,Accounts payable,,"4,218.29",,
03/16/2025,Bill,1154,Reimbursement 4505,5020,Cost of sales:Freight,"8,207.23",,m.laurent,03/16/2025 11:54:33 AM
,,,Reimbursement 4505,2010,Accounts payable,,"8,207.23",,
03/16/2025,Invoice,1177,Licence renewal 4547,1200,Accounts receivable,"16,379.89",,a.varga,03/16/2025 10:23:26 PM
,,,Licence renewal 4547,4010,Revenue:Product,,"13,649.91",,
,,,Licence renewal 4547,2100,Sales tax payable,,"2,729.98",,
03/17/2025,Expense,1173,Reimbursement 4539,5020,Cost of sales:Freight,"1,352.27",,d.okonkwo,03/17/2025 10:40:00 PM
,,,Reimbursement 4539,1010,Cash and cash equivalents:Operating account,,"1,352.27",,
03/18/2025,Credit Memo,1160,Credit note 4514,4090,Sales discounts,444.08,,a.varga,03/18/2025 3:52:49 AM
,,,Credit note 4514,1200,Accounts receivable,,444.08,,
03/18/2025,Bill Payment (Check),1187,Payment to supplier 4565,2010,Accounts payable,"1,957.29",,s.pettersen,03/18/2025 10:27:22 AM
,,,Payment to supplier 4565,1010,Cash and cash equivalents:Operating account,,"1,957.29",,
03/18/2025,Bill,1189,Purchase order 4569,6300,Marketing,"10,869.17",,m.laurent,03/18/2025 7:24:03 AM
,,,Purchase order 4569,2010,Accounts payable,,"10,869.17",,
03/18/2025,Invoice,1196,Invoice 2025-4585,1200,Accounts receivable,"13,715.14",,m.laurent,03/18/2025 6:13:45 AM
,,,Invoice 2025-4585,4010,Revenue:Product,,"11,429.28",,
,,,Invoice 2025-4585,2100,Sales tax payable,,"2,285.86",,
03/19/2025,Payment,1145,Customer payment 4489,1010,Cash and cash equivalents:Operating account,"18,481.68",,m.laurent,03/19/2025 2:25:55 PM
,,,Customer payment 4489,1200,Accounts receivable,,"18,481.68",,
03/19/2025,Invoice,1167,Licence renewal 4528,1200,Accounts receivable,"12,714.07",,m.laurent,03/19/2025 9:14:30 PM
,,,Licence renewal 4528,4020,Revenue:Services,,"10,595.06",,
,,,Licence renewal 4528,2100,Sales tax payable,,"2,119.01",,
03/19/2025,Deposit,1176,Bank deposit 4545,1010,Cash and cash equivalents:Operating account,"6,137.13",,d.okonkwo,03/19/2025 4:45:30 PM
,,,Bank deposit 4545,2400,Deferred revenue,,"6,137.13",,
03/20/2025,Journal Entry,1183,Accrual reversal,2050,Accrued liabilities,"3,734.75-",,s.pettersen,03/20/2025 1:29:09 PM
,,,Accrual reversal,6200,Professional fees,,"3,734.75-",,
03/21/2025,Expense,1149,Purchase order 4494,6110,Utilities,"1,878.21",,System Administrator,03/21/2025 5:45:04 AM
,,,Purchase order 4494,1010,Cash and cash equivalents:Operating account,,"1,878.21",,
03/21/2025,Bill,1170,Monthly service 4532,6110,Utilities,"1,610.12",,s.pettersen,03/21/2025 6:52:59 PM
,,,Monthly service 4532,2010,Accounts payable,,,,
03/22/2025,Invoice,1168,Progress billing 4530,1200,Accounts receivable,"19,174.72",,s.pettersen,03/22/2025 5:30:42 PM
,,,Progress billing 4530,4030,Revenue:Support,,"15,978.93",,
,,,Progress billing 4530,2100,Sales tax payable,,"3,195.79",,
03/23/2025,Invoice,1138,Progress billing 4479,1200,Accounts receivable,"1,954.56",,d.okonkwo,03/23/2025 12:07:03 AM
,,,Progress billing 4479,4010,Revenue:Product,,"1,628.80",,
,,,Progress billing 4479,2100,Sales tax payable,,325.76,,
03/25/2025,Invoice,1146,Licence renewal 4490,1200,Accounts receivable,"6,191.70",,d.okonkwo,03/25/2025 6:12:24 PM
,,,Licence renewal 4490,04010,Revenue:Product,,"5,159.75",,
,,,Licence renewal 4490,2100,Sales tax payable,,"1,031.95",,
03/25/2025,Bill Payment (Check),1157,Payment to supplier 4511,2010,Accounts payable,"13,655.69",,s.pettersen,03/25/2025 6:07:01 AM
,,,Payment to supplier 4511,1010,Cash and cash equivalents:Operating account,,"13,655.69",,
03/25/2025,Journal Entry,1159,Accrual reversal,2050,Accrued liabilities,"4,896.77",,d.okonkwo,03/25/2025 11:37:18 PM
,,,Accrual reversal,6500,Bank charges,,"4,896.77",,
03/26/2025,Bill Payment (Check),1143,Payment to supplier 4487,2010,Accounts payable,"13,593.69",,s.pettersen,03/26/2025 5:23:49 PM
,,,Payment to supplier 4487,1010,Cash and cash equivalents:Operating account,,"13,593.69",,
03/26/2025,Bill,1144,Reimbursement 4488,6200,Professional fees,"9,179.08",,s.pettersen,03/26/2025 4:12:41 AM
,,,Reimbursement 4488,2010,Accounts payable,,"9,179.08",,
03/26/2025,Sales Receipt,1165,Progress billing 4525,1010,Cash and cash equivalents:Operating account,"3,435.12",,s.pettersen,03/26/2025 6:59:56 PM
,,,Progress billing 4525,4010,Revenue:Product,,"2,862.60",,
,,,Progress billing 4525,2100,Sales tax payable,,,,
03/26/2025,Vendor Credit,1188,Supplier credit 4566,2010,Accounts payable,"1,042.65",,s.pettersen,03/26/2025 9:34:25 AM
,,,Supplier credit 4566,6110,Utilities,,"1,042.65",,
03/27/2025,Payment,1158,Customer payment 4512,1010,Cash and cash equivalents:Operating account,"9,261.61",,d.okonkwo,03/27/2025 10:52:02 PM
,,,Customer payment 4512,1200,Accounts receivable,,"9,261.61",,
03/28/2025,Journal Entry,1192,Deferred revenue release,2400,Deferred revenue,"4,554.64",,System Administrator,03/28/2025 1:46:41 PM
,,,Deferred revenue release,4020,Revenue:Services,,"4,554.64",,
03/29/2025,Invoice,1166,Progress billing 4527,1200,Accounts receivable,"17,423.52",,a.varga,03/29/2025 8:49:13 PM
,,,Progress billing 4527,4020,Revenue:Services,,"14,519.60",,
,,,Progress billing 4527,2100,Sales tax payable,,"2,903.92",,
03/29/2025,Payment,1178,Customer payment 4548,1010,Cash and cash equivalents:Operating account,"8,103.19",,System Administrator,03/29/2025 10:37:52 AM
,,,Customer payment 4548,1200,Accounts receivable,,"8,103.19",,
03/29/2025,Payment,1193,Customer payment 4577,1010,Cash and cash equivalents:Operating account,"12,299.21",,System Administrator,03/29/2025 10:57:11 PM
,,,Customer payment 4577,01200,Accounts receivable,,"12,299.21",,
03/30/2025,Transfer,1150,Transfer between bank accounts,1020,Cash and cash equivalents:Payroll account,"7,532.23",,m.laurent,03/30/2025 10:12:11 PM
,,,Transfer between bank accounts,1010,Cash and cash equivalents:Operating account,,"7,532.23",,
03/30/2025,Bill,1184,Purchase order 4561,5020,Cost of sales:Freight,"5,397.36",,m.laurent,03/30/2025 6:29:29 AM
,,,Purchase order 4561,2010,Accounts payable,,"5,397.36",,
03/30/2025,Journal Entry,1195,Deferred revenue release,2400,Deferred revenue,"2,741.28",,System Administrator,03/30/2025 11:04:31 PM
,,,Deferred revenue release,4020,Revenue:Services,,"2,741.28",,
03/31/2025,Bill Payment (Check),1162,Payment to supplier 4519,2010,Accounts payable,"3,491.05",,a.varga,03/31/2025 4:02:08 AM
,,,Payment to supplier 4519,1010,Cash and cash equivalents:Operating account,,"3,491.05",,
,,,Total for March 2025,,,"430,344.64","430,344.64",,
04/01/2025,Payment,1224,Customer payment 4640,1010,Cash and cash equivalents:Operating account,"5,822.39-",,System Administrator,04/01/2025 8:51:23 AM
,,,Customer payment 4640,1200,Accounts receivable,,"5,822.39-",,
04/01/2025,Payment,1235,Customer payment 4662,1010,Cash and cash equivalents:Operating account,"20,044.11",,m.laurent,04/01/2025 4:10:07 PM
,,,Customer payment 4662,1200,Accounts receivable,,"20,044.11",,
04/01/2025,Bill,1247,Purchase order 4686,6100,Rent,329.14,,a.varga,04/01/2025 9:29:41 PM
,,,Purchase order 4686,2010,Accounts payable,,329.14,,
04/02/2025,Payment,1206,Customer payment 4605,1010,Cash and cash equivalents:Operating account,"18,769.34",,d.okonkwo,04/02/2025 11:58:08 AM
,,,Customer payment 4605,1200,Accounts receivable,,"18,769.34",,
04/02/2025,Bill Payment (Check),1222,Payment to supplier 4636,2010,Accounts payable,"12,635.52",,a.varga,04/02/2025 11:54:57 AM
,,,Payment to supplier 4636,1010,Cash and cash equivalents:Operating account,,"12,635.52",,
04/02/2025,Payment,1229,Customer payment 4649,1010,Cash and cash equivalents:Operating account,"14,494.53",,m.laurent,04/02/2025 12:39:07 PM
,,,Customer payment 4649,1200,Accounts receivable,,"14,494.53",,
04/03/2025,Transfer,1199,Transfer between bank accounts,01020,Cash and cash equivalents:Payroll account,"20,907.31",,d.okonkwo,04/03/2025 9:17:14 PM
,,,Transfer between bank accounts,1010,Cash and cash equivalents:Operating account,,"20,907.31",,
04/03/2025,Journal Entry,1252,Reclassification,6250,Software subscriptions,"3,036.66",,a.varga,04/03/2025 8:22:49 PM
,,,Reclassification,6100,Rent,,"3,036.66",,
04/04/2025,Invoice,1215,Progress billing 4621,1200,Accounts receivable,"14,164.40",,System Administrator,04/04/2025 12:47:17 AM
,,,Progress billing 4621,4020,Revenue:Services,,"11,803.67",,
,,,Progress billing 4621,2100,Sales tax payable,,"2,360.73",,
04/04/2025,Bill Payment (Check),1253,Payment to supplier 4697,2010,Accounts payable,161.01,,a.varga,04/04/2025 5:49:18 PM
,,,Payment to supplier 4697,1010,Cash and cash equivalents:Operating account,,161.01,,
04/04/2025,Bill,1264,Purchase order 4719,5010,Cost of sales:Materials,"7,789.04",,a.varga,04/04/2025 2:15:51 PM
,,,Purchase order 4719,2010,Accounts payable,,"7,789.04",,
04/04/2025,Credit Memo,1265,Credit note 4721,4090,Sales discounts,"1,483.45-",,a.varga,04/04/2025 8:38:31 AM
,,,Credit note 4721,1200,Accounts receivable,,"1,483.45-",,
04/05/2025,Expense,1208,Monthly service 4608,6110,Utilities,"1,389.01",,a.varga,04/05/2025 4:51:45 AM
,,,Monthly service 4608,1010,Cash and cash equivalents:Operating account,,"1,389.01",,
04/06/2025,Invoice,1233,Licence renewal 4658,1200,Accounts receivable,"16,220.72",,d.okonkwo,04/06/2025 12:31:35 AM
,,,Licence renewal 4658,4010,Revenue:Product,,"13,517.27",,
,,,Licence renewal 4658,2100,Sales tax payable,,"2,703.45",,
04/07/2025,Bill,1211,Reimbursement 4613,6250,Software subscriptions,"8,568.45",,s.pettersen,04/07/2025 1:33:04 PM
,,,Reimbursement 4613,2010,Accounts payable,,"8,568.45",,
04/08/2025,Bill Payment (Check),1204,Payment to supplier 4599,2010,Accounts payable,153.52,,s.pettersen,04/08/2025 7:50:00 PM
,,,Payment to supplier 4599,1010,Cash and cash equivalents:Operating account,,153.52,,
04/08/2025,Sales Receipt,1212,Licence renewal 4616,1010,Cash and cash equivalents:Operating account,"2,490.97",,d.okonkwo,04/08/2025 5:07:19 PM
,,,Licence renewal 4616,4010,Revenue:Product,,"2,075.81",,
,,,Licence renewal 4616,2100,Sales tax payable,,415.16,,
04/08/2025,Bill,1223,Reimbursement 4637,6420,Travel and entertainment:Conferences,"4,061.84",,a.varga,04/08/2025 2:10:21 PM
,,,Reimbursement 4637,2010,Accounts payable,,"4,061.84",,
04/08/2025,Payment,1256,Customer payment 4703,1010,Cash and cash equivalents:Operating account,"18,297.75",,d.okonkwo,04/08/2025 3:54:55 PM
,,,Customer payment 4703,1200,Accounts receivable,,"18,297.75",,
04/09/2025,Payment,1227,Customer payment 4646,1010,Cash and cash equivalents:Operating account,"8,427.78",,System Administrator,04/09/2025 2:36:25 AM
,,,Customer payment 4646,1200,Accounts receivable,,"8,427.78",,
04/10/2025,Invoice,1202,Retainer 4595,1200,Accounts receivable,"6,218.56",,a.varga,04/10/2025 9:35:59 AM
,,,Retainer 4595,4020,Revenue:Services,,"5,182.13",,
,,,Retainer 4595,2100,Sales tax payable,,"1,036.43",,
04/10/2025,Credit Memo,1225,Credit note 4643,4090,Sales discounts,"1,426.13",,a.varga,04/10/2025 8:39:46 AM
,,,Credit note 4643,1200,Accounts receivable,,"1,426.13",,
04/10/2025,Bill Payment (Check),1255,Payment to supplier 4701,2010,Accounts payable,"5,167.46",,System Administrator,04/10/2025 11:44:25 PM
,,,Payment to supplier 4701,1010,Cash and cash equivalents:Operating account,,"5,167.46",,
04/12/2025,Payment,1205,Customer payment 4602,1010,Cash and cash equivalents:Operating account,604.79,,m.laurent,04/12/2025 5:58:41 PM
,,,Customer payment 4602,1200,Accounts receivable,,604.79,,
04/13/2025,Expense,1214,Purchase order 4620,6200,Professional fees,793.51,,m.laurent,04/13/2025 3:53:16 AM
,,,Purchase order 4620,1010,Cash and cash equivalents:Operating account,,793.51,,
04/13/2025,Payment,1236,Customer payment 4663,1010,Cash and cash equivalents:Operating account,"2,801.79",,s.pettersen,04/13/2025 1:47:52 PM
,,,Customer payment 4663,1200,Accounts receivable,,"2,801.79",,
04/13/2025,Bill,1239,Monthly service 4670,6260,Software subscriptions:AI tools,"8,221.79",,s.pettersen,04/13/2025 2:10:09 AM
,,,Monthly service 4670,2010,Accounts payable,,"8,221.79",,
04/13/2025,Invoice,1243,Retainer 4679,01200,Accounts receivable,"10,821.11",,m.laurent,04/13/2025 10:00:14 AM
,,,Retainer 4679,4020,Revenue:Services,,"9,017.59",,
,,,Retainer 4679,02100,Sales tax payable,,"1,803.52",,
04/14/2025,Invoice,1203,Retainer 4598,1200,Accounts receivable,"8,489.80",,System Administrator,04/14/2025 3:19:07 PM
,,,Retainer 4598,4010,Revenue:Product,,"7,074.83",,
,,,Retainer 4598,2100,Sales tax payable,,"1,414.97",,
04/14/2025,Invoice,1209,Retainer 4609,1200,Accounts receivable,"15,286.12",,a.varga,04/14/2025 3:09:39 AM
,,,Retainer 4609,4010,Revenue:Product,,"12,738.43",,
,,,Retainer 4609,2100,Sales tax payable,,"2,547.69",,
04/14/2025,Payment,1240,Customer payment 4673,1010,Cash and cash equivalents:Operating account,"18,501.41",,System Administrator,04/14/2025 4:54:43 PM
,,,Customer payment 4673,1200,Accounts receivable,,"18,501.41",,
04/14/2025,Invoice,1249,Progress billing 4689,1200,Accounts receivable,"13,291.04",,System Administrator,04/14/2025 5:43:23 PM
,,,Progress billing 4689,04020,Revenue:Services,,"11,075.87",,
,,,Progress billing 4689,2100,Sales tax payable,,"2,215.17",,
04/14/2025,Expense,1257,Purchase order 4704,05020,Cost of sales:Freight,"1,251.73",,m.laurent,04/14/2025 8:23:33 AM
,,,Purchase order 4704,1010,Cash and cash equivalents:Operating account,,"1,251.73",,
04/15/2025,Sales Receipt,1207,Retainer 4606,1010,Cash and cash equivalents:Operating account,"1,582.37",,m.laurent,04/15/2025 4:19:12 PM
,,,Retainer 4606,4010,Revenue:Product,,"1,318.64",,
,,,Retainer 4606,2100,Sales tax payable,,263.73,,
04/15/2025,Bill,1263,Purchase order 4718,6500,Bank charges,"5,733.54",,d.okonkwo,04/15/2025 9:09:16 PM
,,,Purchase order 4718,2010,Accounts payable,,"5,733.54",,
04/15/2025,Bill,1266,Supplier invoice 4724,6400,Travel and entertainment,"8,368.52",,m.laurent,04/15/2025 3:04:17 PM
,,,Supplier invoice 4724,2010,Accounts payable,,"8,368.52",,
04/18/2025,Invoice,1244,Retainer 4680,1200,Accounts receivable,"7,525.74",,s.pettersen,04/18/2025 6:43:58 AM
,,,Retainer 4680,4020,Revenue:Services,,"6,271.45",,
,,,Retainer 4680,2100,Sales tax payable,,"1,254.29",,
04/19/2025,Sales Receipt,1217,Progress billing 4625,1010,Cash and cash equivalents:Operating account,524.99,,s.pettersen,04/19/2025 7:01:39 AM
,,,Progress billing 4625,4010,Revenue:Product,,437.49,,
,,,Progress billing 4625,2100,Sales tax payable,,87.50,,
04/19/2025,Deposit,1228,Bank deposit 4648,1010,Cash and cash equivalents:Operating account,"1,334.98",,System Administrator,04/19/2025 7:43:28 AM
,,,Bank deposit 4648,2400,Deferred revenue,,"1,334.98",,
04/19/2025,Payment,1232,Customer payment 4655,1010,Cash and cash equivalents:Operating account,"10,245.07",,m.laurent,04/19/2025 5:16:42 PM
,,,Customer payment 4655,1200,Accounts receivable,,"10,245.07",,
04/19/2025,Bill Payment (Check),1245,Payment to supplier 4683,2010,Accounts payable,"6,760.91",,d.okonkwo,04/19/2025 5:07:24 AM
,,,Payment to supplier 4683,1010,Cash and cash equivalents:Operating account,,"6,760.91",,
04/20/2025,Journal Entry,1216,Revaluation of foreign balances,6900,Foreign exchange gain or loss,774.59,,a.varga,04/20/2025 5:57:28 PM
,,,Revaluation of foreign balances,1200,Accounts receivable,,774.59,,
04/20/2025,Payment,1242,Customer payment 4678,1010,Cash and cash equivalents:Operating account,"3,777.68",,System Administrator,04/20/2025 9:39:29 PM
,,,Customer payment 4678,01200,Accounts receivable,,"3,777.68",,
04/20/2025,Invoice,1251,Progress billing 4694,1200,Accounts receivable,"10,813.66",,d.okonkwo,04/20/2025 4:36:44 AM
,,,Progress billing 4694,4020,Revenue:Services,,"9,011.38",,
,,,Progress billing 4694,2100,Sales tax payable,,"1,802.28",,
04/20/2025,Invoice,1254,Retainer 4698,1200,Accounts receivable,"3,573.52-",,s.pettersen,04/20/2025 5:59:52 PM
,,,Retainer 4698,04010,Revenue:Product,,"2,977.93-",,
,,,Retainer 4698,2100,Sales tax payable,,595.59-,,
04/21/2025,Transfer,1218,Transfer between bank accounts,1020,Cash and cash equivalents:Payroll account,"4,254.52",,d.okonkwo,04/21/2025 8:53:27 AM
,,,Transfer between bank accounts,1010,Cash and cash equivalents:Operating account,,"4,254.52",,
04/22/2025,Transfer,1219,Transfer between bank accounts,1020,Cash and cash equivalents:Payroll account,"21,924.70",,a.varga,04/22/2025 10:40:01 AM
,,,Transfer between bank accounts,1010,Cash and cash equivalents:Operating account,,"21,924.69",,
04/22/2025,Vendor Credit,1241,Supplier credit 4675,2010,Accounts payable,944.11,,d.okonkwo,04/22/2025 1:43:06 AM
,,,Supplier credit 4675,6250,Software subscriptions,,944.11,,
04/22/2025,Bill Payment (Check),1260,Payment to supplier 4711,2010,Accounts payable,"3,335.79",,s.pettersen,04/22/2025 8:08:55 PM
,,,Payment to supplier 4711,01010,Cash and cash equivalents:Operating account,,"3,335.79",,
04/23/2025,Bill Payment (Check),1200,Payment to supplier 4593,2010,Accounts payable,967.60,,System Administrator,04/23/2025 1:11:01 PM
,,,Payment to supplier 4593,1010,Cash and cash equivalents:Operating account,,967.60,,
04/23/2025,Expense,1262,Purchase order 4715,6400,Travel and entertainment,"1,728.12",,d.okonkwo,04/23/2025 9:31:35 PM
,,,Purchase order 4715,1010,Cash and cash equivalents:Operating account,,"1,728.12",,
04/24/2025,Sales Receipt,1213,Retainer 4617,1010,Cash and cash equivalents:Operating account,"1,467.66",,s.pettersen,04/24/2025 8:20:03 AM
,,,Retainer 4617,4010,Revenue:Product,,"1,223.05",,
,,,Retainer 4617,2100,Sales tax payable,,244.61,,
