Supplier Number,Company Name,Display Name,SIM Status,Organization Type,Federal Tax ID,DUNS,Country of Operation,Preferred Currency,Payment Term,Invoice Matching Level,Minority Indicator,Minority Type,Primary Contact Email,Pay Group,Risk Tier,Insurance Expiry,Plants Served
V-100426,Rushcliffe Packaging Ltd,Rushcliffe Packaging,Active,S-Corp,336053184,423526816,US,USD,30 days,3-way,N,,rushcliffe.packaging@rushcliffepac.com,,,,PLT-02
V-100279,Eastgate Springs Corp,,A,S-Corp,87-9735817,116028589,,GBP,Due on receipt,2-way,Y,VOSB,eastgate.springs@eastgatespr.com,MX-AP,Low,2028-10-22,PLT-10;PLT-08
V-100428,Culverton Foundry LLC,Culverton Foundry,active,Corporation,05-6867747,322433303,US,EUR,30 days,None,no,,ap@culvertonfou.com; culverton.foundry@culvertonfou.com,CA-AP,2,2026-04-17,PLT-02
V-100429,Castleford Tooling S.A. de C.V.,Castleford Tooling,Inactive,S-Corp,357034851,,US,CAD,Net 30,2-way,No,,castleford.tooling@castlefordtoo.com,EU-AP,2,2027-01-28,PLT-06
V-100430,Fairweather Bearings LLC,Fairweather Bearings,draft,LLC,760174547,289146522,US,USD,Net 30,none,,WBE,fairweather.bearings@fairweatherbea.com,,2,2026-03-18,PLT-07 / PLT-02
V-100431,Elmswell Pneumatics Corp,,Active,Corporation,365579191,986149393,Germany,USD,Net 60,2-way,F,,elmswell.pneumatics@elmswellpne.com,US-AP,3,01/06/2028,PLT-03;PLT-09;PLT-01;PLT-07
V-100432,Ingleby Castings Corp,,Active,Sole Prop,545188252,507625747,Mexico,Euro,Net 45,3-way,True,DBE,ingleby.castings@inglebycas.com,EU-AP,Tier 2,02/16/2028,PLT-10;PLT-08;PLT-07
V-100433,Wolverton Valves GmbH,,draft,,,226615753,Mexico,USD,Net 60,3 way,F,,wolverton.valves@wolvertonval.com,US-AP,Tier 3,2026-07-16,PLT-07
V-100434,Rushcliffe Pneumatics PLC,,active,S-Corp,233258303,44-595-7249,USA,CAD,Net 30,3-way,no,,rushcliffe.pneumatics@rushcliffepne.com,MX-AP,High,,"PLT-07, PLT-02"
V-100435,Ballantyne Fasteners Inc.,Ballantyne Fasteners,Active,Sole Proprietor,341303118,647627966,USA,,Net 90,3-way,N,,ballantyne.fasteners@ballantynefas.com,UK-AP,1,05/10/2028,PLT-02 / PLT-07 / PLT-05
V-100436,Kettleby Bearings PLC,Kettleby Bearings,Inactive,LLC,644073375,89550107,GB,USD,Net 60,3-way,0,,,UK-AP,2,2026-11-06,PLT-02
V-100437,Quarrington Coatings Inc.,Quarrington Coatings,On Hold,LLC,30-3761953,838305099,US,CAD,,none,FALSE,,quarrington.coatings@quarringtoncoa.com,MX-AP,Medium,2027-08-16,"PLT-01, PLT-06, PLT-07"
V-100438,Eastgate Hydraulics S.A. de C.V.,Eastgate Hydraulics,active,Sole Proprietor,48-5525449,980051967,Canada,EUR,Net 30,2-way,no,,eastgate.hydraulics@eastgatehyd.com,US-AP,,09/27/2027,PLT-09
V-100439,Kettleby Bearings Inc.,Kettleby Bearings,active,,69-7496719,82002251,US,,Net 60,3-way,false,,kettleby.bearings@kettlebybea.com,,Tier 2,2028-06-16,PLT-06;PLT-04
V-100440,Culverton Calibration Ltd.,Culverton Calibration,active,S-Corp,386674323,31158549,Canada,usd,NET30,3-way-direct,F,,culverton.calibration@culvertoncal.com,EU-AP,2,2026-07-24,PLT-09
V-100441,Fairweather Weldments Inc.,Fairweather Weldments,inactive,S-Corp,45-7027129,808175559,GB,USD,Net30,,False,,fairweather.weldments@fairweatherwel.com,US-AP,2,2026-06-09,PLT-10
V-100442,Quarrington Castings Ltd.,Quarrington Castings,active,,253512302,877081187,Germany,MXN,Net 45,3 Way Match,,Woman-Owned Small Business,quarrington.castings@quarringtoncas.com,,Tier 1,2028-05-11,PLT-06
V-100443,Eastgate Foundry PLC,Eastgate Foundry,A,LLC,708586888,119895188,MX,USD,,none,True,Minority Business Enterprise,eastgate.foundry.eastgatefou.com,US-AP,3,2026-09-08,"PLT-01, PLT-04"
V-100444,Saltburn Fasteners LLC,,,Non-Profit,44-8742332,60664696,Germany,GBP,Net 30,3-way,no,,saltburn.fasteners@saltburnfas.com,US-AP,High,2026-02-08,PLT-02;PLT-04;PLT-05
V-100445,Brackenridge Lubricants GmbH,Brackenridge Lubricants,inactive,Corporation,21-2288668,782256203,United States,usd,COD,3 Way Match,YES,MBE,brackenridge.lubricants@brackenridgelub.com,US-AP,High,2028-02-22,PLT-10
,Farndale Castings Inc.,Farndale Castings,inactive,Corporation,40-5351488,305286277,United States,,Net 15,none,FALSE,,,,Low,,"PLT-08, PLT-06"
V-100447,Kettleby Logistics Corp,Kettleby Logistics,A,Corporation,,157538327,USA,USD,Net 60,2-way,YES,Woman-Owned Small Business,,EU-AP,1,06/15/2026,PLT-03
V-100448,Draycott Fasteners Ltd.,Draycott Fasteners,active,,35-5794015,59-708-4689,,GBP,Net 60,3 Way Match,FALSE,,draycott.fasteners@draycottfas.com,US-AP,Medium,2027-01-09,"PLT-11, PLT-12"
V-100449,Ballantyne Castings Inc,,draft,,65-0433929,614048512,United Kingdom,USD,Net 30,3-way-direct,no,,ballantyne.castings@ballantynecas.com,,2,12/23/2027,"PLT-12, PLT-06, PLT-04, PLT-07"
V-100450,Oakhurst Hydraulics Ltd,,active,Corporation,52-8614360,529438079,US,USD,Net 30,3-way,FALSE,,oakhurst.hydraulics@oakhursthyd.com,,,2026-07-11,"PLT-04, PLT-03, PLT-06"
V-100451,Ullswater Springs Corp,Ullswater Springs,Active,LLC,511823520,290638003,CA,GBP,,3-way,False,,ullswater.springs@ullswaterspr.com,US-AP,3,09/07/2027,PLT-04
V-100452,Castleford Foundry Ltd.,,A,S-Corp,690003881,310694839,GB,USD,Net 45,3 way,False,,castleford.foundry@castlefordfou.com,US-AP,,,PLT-09
V-100453,Alderman Gasket S.A. de C.V.,,A,LLC,23-0934205,11-070-3514,US,USD,Net 30,3-way,No,,alderman.gasket@aldermangas.com,UK-AP,1,2027-02-26,PLT-01
V-100454,Oakhurst Valves S.A. de C.V.,Oakhurst Valves,Pending,Corporation,32-0811694,176659919,United Kingdom,EUR,NET30,2 Way Match,FALSE,,ap@oakhurstval.com; oakhurst.valves@oakhurstval.com,UK-AP,3,02/07/2026,PLT-03
V-100455,Yarborough Valves GmbH,Yarborough Valves,,LLC,16-4355955,880792837,US,USD,Net 30,3 way,0,,yarborough.valves@yarboroughval.com,,3,01/16/2028,PLT-05;PLT-10;PLT-07
V-100456,Marchmont Pneumatics LLC,,ACTIVE,S-Corp,33-9146773,855400664,U.S.,CAD,Net 30,3-way-direct,,,ap@marchmontpne.com; marchmont.pneumatics@marchmontpne.com,US-AP,1,06/17/2028,"PLT-10, PLT-09, PLT-07"
V-100457,Denholm Packaging Ltd,,active,LLC,55-9397214,143620579,United States,CAD,Immediate,2-way,no,,denholm.packaging@denholmpac.com,MX-AP,Tier 3,2026-08-18,PLT-01 / PLT-10
V-100458,Thirlmere Foundry Ltd.,Thirlmere Foundry,inactive,,26-9755524,719194859,USA,USD,Net30,Two-way,FALSE,,thirlmere.foundry@thirlmerefou.com,CA-AP,Medium,2026-05-19,PLT-02
V-100459,Wolverton Bearings Corp,,Active,Corporation,04-9113773,568342283,DE,USD,Net 90,2 Way Match,False,,wolverton.bearings@wolvertonbea.com,,3,2027-03-13,PLT-12;PLT-07
V-100460,Alderman Fabrication Corp,Alderman Fabrication,active,Non-Profit,46-5339123,043993671,CA,USD,Net 45,2-way,no,,alderman.fabrication@aldermanfab.com,US-AP,2,2027-08-14,PLT-01
V-100461,Eastgate Tooling Co,Eastgate Tooling,Active,Sole Proprietor,871340524,577544552,Canada,USD,Net 90,3-way,FALSE,,eastgate.tooling@eastgatetoo.com,UK-AP,Tier 1,2026-04-12,
V-100462,Ashworth Extrusions Inc,Ashworth Extrusions,Active,S-Corp,238754825,708017570,US,CAD,Net30,2 way,FALSE,,ashworth.extrusions@ashworthext.com,CA-AP,1,2027-11-25,"PLT-10, PLT-12"
V-100463,Yarborough Logistics Co,Yarborough Logistics,active,Corporation,71-5757596,,US,USD,Due on receipt,none,No,,yarborough.logistics.yarboroughlog.com,,2,2027-10-03,PLT-08;PLT-11;PLT-02;PLT-09
V-100464,Alderman Electrical Inc,Alderman Electrical,On Hold,,19-9856337,01-276-7192,Mexico,US Dollar,NET30,2 way,0,,alderman.electrical@aldermanele.com,,2,05/18/2028,PLT-02
V-100465,Elmswell Fasteners Ltd.,Elmswell Fasteners,Active,Sole Prop,711661901,913579709,US,USD,COD,Two-way,yes,HUBZone,ap@elmswellfas.com; elmswell.fasteners@elmswellfas.com,US-AP,Tier 2,2027-08-25,PLT-11;PLT-03;PLT-06
V-100466,Jarrow Coatings Ltd.,Jarrow Coatings,Inactive,S-Corp,381867798,100265752,Canada,CAD,Net 45,3-way,False,,ap@jarrowcoa.com; jarrow.coatings@jarrowcoa.com,EU-AP,Tier 3,08/18/2026,PLT-11
V-100467,Fairweather Foundry GmbH,,inactive,,751597332,86028158,USA,MXN,Due on receipt,3-way,False,,fairweather.foundry@fairweatherfou.com,UK-AP,2,2028-04-07,PLT-07
V-100468,Saltburn Fabrication Ltd.,Saltburn Fabrication,draft,Partnership,43-4997352,904788329,US,USD,Net 30,2-way,True,WOSB,saltburn.fabrication@saltburnfab.com,US-AP,3,2027-01-28,PLT-06
V-100469,Culverton Weldments Ltd,,active,LLC,42-8324417,300557740,Germany,EUR,Net 30,2-way,No,,culverton.weldments@culvertonwel.com,EU-AP,Medium,10/22/2028,"PLT-06, PLT-12, PLT-07, PLT-03"
V-100470,Fairweather Fasteners Corp,Fairweather Fasteners,inactive,Corporation,06-5060482,354373589,CA,,,3 way,F,,fairweather.fasteners@fairweatherfas.com,UK-AP,,2028-06-27,
V-100471,Culverton Pneumatics S.A. de C.V.,Culverton Pneumatics,draft,Corporation,15-1684893,,US,Euro,Net 30,3 way,no,,culverton.pneumatics@culvertonpne.com,EU-AP,2,03/27/2028,PLT-03
V-100472,Farndale Logistics Corp,,Pending,LLC,850132221,665269443,DE,CAD,Immediate,None,false,,farndale.logistics@farndalelog.com,US-AP,2,2027-11-08,PLT-10
V-100473,Alderman Fabrication PLC,Alderman Fabrication,Pending,Sole Proprietor,06-3004040,618582388,DE,USD,Net 30,None,0,,alderman.fabrication@aldermanfab.com,CA-AP,1,,PLT-04;PLT-12;PLT-03
V-100474,Quarrington Fabrication Co,,Active,LLC,73-6625428,73354206,Canada,US Dollar,Net 30,Three way direct,,VOSB,quarrington.fabrication@quarringtonfab.com,,,2027-07-07,PLT-08
V-100475,Ingleby Valves Co,Ingleby Valves,active,Partnership,480022142,466025722,DE,USD,,None,F,,ingleby.valves@inglebyval.com,CA-AP,2,,PLT-03;PLT-05;PLT-07
V-100476,Wolverton Coatings Co,,active,Corporation,253175556,899062116,Canada,USD,Net 30,3 way,False,,wolverton.coatings@wolvertoncoa.com,MX-AP,1,,PLT-04;PLT-08;PLT-09
V-100477,Verwood Abrasives Inc.,,A,Corporation,706442760,369342233,Deutschland,EUR,COD,2-way,0,,ap@verwoodabr.com; verwood.abrasives@verwoodabr.com,US-AP,3,2028-06-04,PLT-05;PLT-02
V-100478,Eastgate Packaging GmbH,Eastgate Packaging,Active,Sole Proprietor,88-9050691,,United States,GBP,Net 30,2-way,,,,US-AP,1,2028-02-21,PLT-03
V-100479,Oakhurst Hydraulics Ltd,Oakhurst Hydraulics,draft,Sole Proprietor,814265661,267063263,US,CAD,Net 30,None,false,,ap@oakhursthyd.com; oakhurst.hydraulics@oakhursthyd.com,US-AP,Medium,08/27/2027,PLT-09
V-100480,Saltburn Abrasives Ltd.,Saltburn Abrasives,,Corporation,82-5081941,254619820,US,EUR,Due on receipt,3 way,Yes,VOSB,,CA-AP,,2028-02-27,
V-100481,Culverton Lubricants Ltd.,,active,LLC,525156267,512482293,US,,Net 60,3-way-direct,False,,culverton.lubricants@culvertonlub.com,,2,2027-02-22,PLT-07
,Farndale Weldments Inc,Farndale Weldments,active,Corporation,266579795,259639723,CA,MXN,Net 60,3 Way Match,0,,farndale.weldments@farndalewel.com,EU-AP,,2026-01-28,"PLT-04, PLT-11, PLT-01"
V-100483,Castleford Fasteners S.A. de C.V.,Castleford Fasteners,A,LLC,75-0027105,089252994,US,CAD,Net30,none,,Woman-Owned Small Business,castleford.fasteners@castlefordfas.com,US-AP,2,2027-09-10,PLT-09;PLT-03;PLT-06
V-100484,Yarborough Logistics Inc.,,active,Limited Liability Company,,94-895-2095,US,EUR,Net 30,3-way-direct,no,,yarborough.logistics@yarboroughlog.com,US-AP,3,2027-05-11,PLT-02;PLT-09
V-100485,Kettleby Packaging Ltd.,,On Hold,Sole Proprietor,83-8494402,617916651,,EUR,Due on receipt,3-way-direct,TRUE,SDVOSB,kettleby.packaging@kettlebypac.com,MX-AP,1,11/16/2027,PLT-05;PLT-04;PLT-02
V-100486,Alderman Gasket Corp,Alderman Gasket,inactive,Corporation,268982295,67768100,United States,usd,,3-way,Yes,WBE,alderman.gasket@aldermangas.com,EU-AP,1,2026-09-09,PLT-12;PLT-11;PLT-08;PLT-04
V-100487,Hollingworth Machining Inc.,Hollingworth Machining,active,Partnership,65-0074485,661452619,US,US Dollar,2/10 Net 30,2-way,yes,DBE,hollingworth.machining@hollingworthmac.com,US-AP,,01/18/2028,PLT-01;PLT-06;PLT-03
V-100488,Wolverton Lubricants Inc.,,Active,S-Corp,59-1249720,867577927,GB,USD,,3-way,false,,ap@wolvertonlub.com; wolverton.lubricants@wolvertonlub.com,US-AP,1,12/03/2027,"PLT-05, PLT-12"
V-100489,Castleford Abrasives Co,,Active,,71-6455336,418178437,US,USD,Net 60,none,F,,castleford.abrasives@castlefordabr.com,CA-AP,1,2026-07-15,PLT-11;PLT-03
V-100490,Ullswater Packaging GmbH,Ullswater Packaging,Active,LLC,352658006,899090353,CA,usd,Due on receipt,3-way,0,,ullswater.packaging@ullswaterpac.com,US-AP,Tier 1,07/19/2027,PLT-01 / PLT-03 / PLT-09
V-100491,Grimsby Lubricants Inc.,Grimsby Lubricants,active,Corporation,024061999,238052743,,GBP,Immediate,2-way,True,SDVOSB,grimsby.lubricants@grimsbylub.com,US-AP,3,2026-05-26,PLT-04;PLT-02;PLT-10
V-100492,Pemberton Pneumatics Corp,,Draft,LLC,82-1381846,997879438,GB,Euro,Net 30,3-way,no,,pemberton.pneumatics@pembertonpne.com,EU-AP,Tier 2,2028-04-14,"PLT-02, PLT-12"
V-100493,Fairweather Calibration Inc,Fairweather Calibration,Active,Corporation,05-9938518,75-092-2864,CA,USD,Net30,,FALSE,,fairweather.calibration@fairweathercal.com,EU-AP,Tier 2,2028-07-05,"PLT-06, PLT-08"
V-100494,Elmswell Forgings S.A. de C.V.,,Inactive,S-Corp,35-1546763,179531803,USA,USD,COD,3-way,T,HUBZone,elmswell.forgings@elmswellfor.com,US-AP,Tier 3,07/02/2028,PLT-08
V-100495,Saltburn Machining GmbH,Saltburn Machining,Active,Non-Profit,50-1249462,428276444,US,usd,Net 45,Two-way,no,,saltburn.machining@saltburnmac.com,UK-AP,3,11/02/2028,PLT-08 / PLT-04 / PLT-05
V-100496,Grimsby Forgings Inc.,Grimsby Forgings,Active,Sole Proprietor,,446090337,Canada,USD,NET30,3-way-direct,N,,grimsby.forgings@grimsbyfor.com,US-AP,3,12/01/2028,
V-100497,Hollingworth Castings Inc,Hollingworth Castings,Active,Partnership,29-7632233,232741286,GB,EUR,Net 30,,FALSE,,ap@hollingworthcas.com; hollingworth.castings@hollingworthcas.com,US-AP,,2028-02-10,PLT-02
V-100498,Farndale Lubricants PLC,,,Partnership,09-7181619,681226147,Deutschland,EUR,2/10 Net 30,3 way,F,,farndale.lubricants@farndalelub.com,US-AP,Low,11/23/2028,"PLT-02, PLT-04, PLT-01"
V-100499,Culverton Forgings Ltd.,,On Hold,,519609151,363000820,United States,USD,Net 30,2 way,no,,,EU-AP,,03/20/2027,PLT-08;PLT-10;PLT-02;PLT-06
V-100500,Alderman Springs LLC,,I,LLC,,242973319,US,USD,Net 30,Two-way,0,,alderman.springs@aldermanspr.com,US-AP,2,,PLT-03
V-100501,Alderman Foundry S.A. de C.V.,Alderman Foundry,Active,Partnership,71-3637280,798781280,USA,EUR,Net 30,none,No,,alderman.foundry@aldermanfou.com,UK-AP,2,2026-04-07,"PLT-01, PLT-09, PLT-11"
V-100502,Ballantyne Forgings Ltd,Ballantyne Forgings,inactive,Non-Profit,60-1083441,313400328,DE,USD,Net 30,2-way,no,,ap@ballantynefor.com; ballantyne.forgings@ballantynefor.com,US-AP,1,2026-03-18,
V-100503,Pemberton Weldments LLC,Pemberton Weldments,I,Sole Proprietor,77-7972797,549510782,US,GBP,Net 30,Two-way,,,ap@pembertonwel.com; pemberton.weldments@pembertonwel.com,,,2027-07-20,PLT-12
V-100504,Castleford Electrical PLC,Castleford Electrical,,LLC,,117451143,US,CAD,Net 60,2 Way Match,no,,castleford.electrical@castlefordele.com,US-AP,2,2027-07-28,PLT-05
V-100505,Ballantyne Weldments Ltd.,Ballantyne Weldments,Pending,,617541460,141317633,CA,GBP,Net 60,3-way,False,,ballantyne.weldments@ballantynewel.com,US-AP,1,2026-05-02,PLT-08
V-100506,Kettleby Tooling Ltd.,Kettleby Tooling,active,LLC,43-3541902,288054148,U.S.,GBP,NET30,2-way,N,,kettleby.tooling@kettlebytoo.com,US-AP,,2026-10-25,PLT-07
V-100507,Ingleby Forgings Corp,Ingleby Forgings,active,S-Corp,782511758,678736535,US,EUR,NET30,3-way,YES,HUBZone,ap@inglebyfor.com; ingleby.forgings@inglebyfor.com,US-AP,3,01/13/2026,PLT-07
V-100508,Quarrington Machining GmbH,Quarrington Machining,active,Non-Profit,09-9954375,677114872,GB,MXN,NET30,3-way,FALSE,,quarrington.machining@quarringtonmac.com,US-AP,2,08/19/2028,PLT-04;PLT-10
V-100509,Alderman Fasteners S.A. de C.V.,Alderman Fasteners,active,Sole Proprietor,23-4380288,109965125,United Kingdom,,Net 60,none,N,,alderman.fasteners@aldermanfas.com,CA-AP,Tier 2,2027-07-09,"PLT-09, PLT-06"
V-100510,Saltburn Logistics Corp,Saltburn Logistics,active,Corporation,426939481,946440275,Deutschland,USD,Net 45,none,N,,saltburn.logistics.saltburnlog.com,US-AP,2,,PLT-05;PLT-03;PLT-01
V-100511,Culverton Forgings Inc.,Culverton Forgings,active,Sole Proprietor,17-2829185,,United Kingdom,GBP,Net 90,3-way-direct,false,,culverton.forgings@culvertonfor.com,,High,,PLT-08
V-100512,Elmswell Fasteners Ltd.,,Pending,Corporation,37-7701422,952868310,CA,,Net 60,3-way,False,SDVOSB,,US-AP,Tier 2,,PLT-09
V-100513,Lansdowne Seals Ltd.,,Active,LLC,45-5569682,811041758,USA,MXN,Due on receipt,None,false,,lansdowne.seals@lansdownesea.com,US-AP,Tier 3,06/09/2026,PLT-09;PLT-10
V-100514,Yarborough Castings Co,,inactive,LLC,094022475,929316351,,USD,30 days,Three way direct,,,yarborough.castings@yarboroughcas.com,US-AP,1,02/12/2028,
V-100515,Saltburn Calibration Inc.,Saltburn Calibration,active,S-Corp,42-5842312,474145886,CA,USD,,3-way,Yes,WOSB,saltburn.calibration.saltburncal.com,US-AP,3,2026-02-02,"PLT-11, PLT-03"
V-100516,Lansdowne Hydraulics Co,Lansdowne Hydraulics,I,Partnership,289641943,85-265-6392,US,USD,Net 30,3 way,False,,lansdowne.hydraulics@lansdownehyd.com,CA-AP,2,,PLT-01 / PLT-04
V-100517,Oakhurst Bearings Ltd,Oakhurst Bearings,Draft,Corporation,05-1614154,951204881,US,GBP,COD,3-way-direct,,,oakhurst.bearings@oakhurstbea.com,MX-AP,Low,2026-07-09,PLT-11
V-100518,Fairweather Plating GmbH,Fairweather Plating,Pending,,43-2939948,916362253,US,,2/10 Net 30,2 Way Match,no,,fairweather.plating@fairweatherpla.com,EU-AP,Tier 2,,PLT-10;PLT-06
V-100519,Quarrington Logistics Ltd.,Quarrington Logistics,draft,Limited Liability Company,85-3024348,89-814-9226,US,MXN,30 days,3-way-direct,No,,quarrington.logistics@quarringtonlog.com,,High,2026-02-15,PLT-07
V-100520,Saltburn Abrasives LLC,,Active,,,862159688,Mexico,USD,COD,3-way,No,,saltburn.abrasives@saltburnabr.com,EU-AP,1,2026-12-19,PLT-02;PLT-03
V-100521,Eastgate Machining LLC,Eastgate Machining,ACTIVE,Corporation,27-1810880,489509447,US,Euro,Net 30,None,False,,eastgate.machining@eastgatemac.com,US-AP,,,PLT-07
V-100522,Draycott Coatings Co,Draycott Coatings,,LLC,652411001,912024032,,GBP,Net 30,3-way-direct,No,,draycott.coatings@draycottcoa.com,US-AP,,2026-06-19,"PLT-01, PLT-10"
V-100523,Grimsby Electrical S.A. de C.V.,,On Hold,Corporation,01-4076235,,CA,USD,30 days,Two-way,No,,ap@grimsbyele.com; grimsby.electrical@grimsbyele.com,US-AP,2,12/22/2027,PLT-01
V-100524,Fairweather Springs Inc,Fairweather Springs,draft,Limited Liability Company,03-3893234,82311854,GB,MXN,Net 30,2-way,,,fairweather.springs@fairweatherspr.com,,1,12/02/2028,PLT-11
V-100525,Ullswater Machining GmbH,Ullswater Machining,A,Corporation,89-0213602,855673003,US,USD,Net 30,none,False,,ullswater.machining@ullswatermac.com,,2,,PLT-05
V-100526,Castleford Weldments Co,Castleford Weldments,Active,Corporation,30-9660770,355328844,MX,USD,Net 45,3-way,No,,,US-AP,,,PLT-05;PLT-06
V-100527,Quarrington Extrusions Inc.,Quarrington Extrusions,Active,LLC,458337132,513090401,CA,USD,2/10 Net 30,Two-way,,Woman-Owned Small Business,quarrington.extrusions@quarringtonext.com,US-AP,1,2028-09-20,"PLT-12, PLT-10"
V-100528,Ballantyne Weldments Ltd.,Ballantyne Weldments,draft,LLC,55-4848180,43-715-2388,DE,usd,2/10 Net 30,2-way,false,,ballantyne.weldments@ballantynewel.com,UK-AP,Tier 2,2026-12-10,PLT-01
V-100529,Wolverton Valves PLC,Wolverton Valves,Active,Corporation,72-0408326,756522797,USA,usd,Net 45,3-way-direct,Yes,WBE,wolverton.valves@wolvertonval.com,US-AP,3,06/18/2027,PLT-01;PLT-09
V-100530,Marchmont Coatings LLC,,active,LLC,32-1131975,612082418,USA,,Net 30,3 Way Match,false,,,UK-AP,3,04/24/2027,PLT-07;PLT-12
V-100531,Brackenridge Fabrication Corp,Brackenridge Fabrication,inactive,Limited Liability Company,79-5847372,248195308,U.S.,EUR,Net 15,2-way,no,,brackenridge.fabrication@brackenridgefab.com,,1,2026-10-05,PLT-03
V-100532,Draycott Abrasives LLC,,draft,Limited Liability Company,,891069013,US,Euro,,3 way,N,,draycott.abrasives@draycottabr.com,,Low,2028-12-14,PLT-01;PLT-05;PLT-10
V-100533,Castleford Foundry LLC,Castleford Foundry,Pending,Partnership,77-8614217,,Deutschland,US Dollar,Net 45,Two-way,FALSE,,castleford.foundry@castlefordfou.com,US-AP,2,2028-05-08,PLT-06
V-100534,Lansdowne Pneumatics S.A. de C.V.,Lansdowne Pneumatics,Pending,LLC,935218761,857090661,US,,2/10 Net 30,2-way,No,,lansdowne.pneumatics@lansdownepne.com,UK-AP,3,2026-05-16,PLT-05
V-100535,Ashworth Gasket LLC,,Pending,Corporation,87-3006449,,MX,,Net 30,none,false,,ashworth.gasket@ashworthgas.com,UK-AP,3,2026-02-20,PLT-08;PLT-12
V-100536,Oakhurst Tooling Co,Oakhurst Tooling,active,Corporation,84-8068715,165472515,U.S.,USD,Net30,3-way,N,,oakhurst.tooling@oakhursttoo.com,US-AP,,2028-02-21,"PLT-08, PLT-07, PLT-10"
V-100537,Alderman Calibration Inc.,Alderman Calibration,active,LLC,08-0455433,653979717,US,USD,Net 45,3 way,no,,alderman.calibration@aldermancal.com,US-AP,1,2027-07-06,PLT-09
V-100538,Ullswater Packaging Co,Ullswater Packaging,active,,949736484,574244339,United States,USD,Net 30,,F,,ullswater.packaging@ullswaterpac.com,US-AP,1,2028-11-23,PLT-08 / PLT-04
V-100539,Hollingworth Gasket Ltd.,,inactive,Corporation,885266503,248608559,U.S.,USD,Net 30,2-way,,,hollingworth.gasket@hollingworthgas.com,US-AP,Tier 3,2027-11-21,"PLT-06, PLT-02, PLT-03"
V-100540,Oakhurst Seals Inc.,Oakhurst Seals,active,S-Corp,873952519,701408379,MX,USD,Net 45,3 Way Match,FALSE,,ap@oakhurstsea.com; oakhurst.seals@oakhurstsea.com,US-AP,Tier 2,2026-09-16,PLT-11
V-100541,Alderman Forgings Corp,Alderman Forgings,draft,Corporation,651081467,563860408,Canada,USD,Net 30,,F,,alderman.forgings@aldermanfor.com,EU-AP,Low,2026-03-11,PLT-10;PLT-07
V-100542,Pemberton Castings Corp,Pemberton Castings,active,Sole Prop,15-8802153,80267542,Deutschland,USD,Net30,2-way,YES,WOSB,pemberton.castings@pembertoncas.com,EU-AP,1,2026-08-06,PLT-04;PLT-10
V-100543,Elmswell Castings LLC,Elmswell Castings,active,LLC,75-4730529,931535209,,GBP,Due on receipt,2-way,YES,VOSB,elmswell.castings@elmswellcas.com,US-AP,1,,PLT-10
V-100544,Ullswater Calibration PLC,,active,Sole Prop,06-8256411,59024620,US,USD,Net 30,2-way,N,,ullswater.calibration@ullswatercal.com,US-AP,3,,PLT-08;PLT-02;PLT-10;PLT-07
V-100545,Ballantyne Machining S.A. de C.V.,,inactive,LLC,317075673,624929243,CA,USD,Net 60,3 Way Match,no,,ballantyne.machining@ballantynemac.com,US-AP,Tier 2,05/05/2028,PLT-09;PLT-11
V-100546,Kettleby Seals S.A. de C.V.,Kettleby Seals,draft,Sole Proprietor,455548818,838359718,United States,GBP,Net 15,3-way,Y,Minority Business Enterprise,kettleby.seals@kettlebysea.com,CA-AP,Medium,,PLT-03
V-100547,Grimsby Forgings GmbH,Grimsby Forgings,active,LLC,350776623,,MX,USD,Net 30,2-way,no,,grimsby.forgings@grimsbyfor.com,,1,04/04/2026,
V-100548,Alderman Fabrication LLC,,Active,LLC,408614148,585962094,US,Euro,Net 45,3-way,F,,alderman.fabrication@aldermanfab.com,US-AP,Tier 3,,PLT-07;PLT-02;PLT-10;PLT-08
V-100549,Quarrington Weldments LLC,,Pending,Corporation,89-9741613,532988131,United States,USD,NET30,3 way,true,VOSB,quarrington.weldments.quarringtonwel.com,,3,2027-09-08,"PLT-07, PLT-09"
V-100550,Wolverton Tooling Ltd.,,active,Sole Proprietor,88-5349896,311290271,,CAD,Net30,2-way,False,,wolverton.tooling@wolvertontoo.com,US-AP,1,2027-10-14,PLT-04
V-100551,Farndale Pneumatics Co,,active,Corporation,349708936,67-292-2687,US,USD,Net 30,3-way,false,,farndale.pneumatics@farndalepne.com,US-AP,2,2028-08-09,PLT-01;PLT-11;PLT-10
V-100552,Ullswater Springs LLC,Ullswater Springs,active,Corporation,72-5291068,869921641,United States,,N30,3-way,false,,ullswater.springs.ullswaterspr.com,US-AP,,,
V-100553,Castleford Pneumatics Inc.,,,Sole Proprietor,97-4574846,646210341,,USD,Net30,,N,,castleford.pneumatics@castlefordpne.com,UK-AP,Low,2027-12-16,PLT-04
V-100554,Rushcliffe Abrasives Inc,Rushcliffe Abrasives,active,Corporation,92-2522034,109918928,United States,Euro,Net 30,2 Way Match,no,,ap@rushcliffeabr.com; rushcliffe.abrasives@rushcliffeabr.com,,2,2028-09-06,PLT-10;PLT-09
V-100555,Draycott Plating LLC,Draycott Plating,active,Corporation,28-8591388,909673374,MX,USD,Net 30,3-way-direct,FALSE,,draycott.plating@draycottpla.com,US-AP,Low,2028-11-15,"PLT-10, PLT-08, PLT-12"
